-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2011-12 (all figures are in Rs. Lakh) ", 
 "file_name": "spout_1112_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/spout_1112_ds.xls"
}
-----
"no","finanical_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-or-Anticipated-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-or-Anticipated-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-or-Anticipated-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-or-Anticipated-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-or-Anticipated-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-or-Anticipated-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-or-Anticipated-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-or-Anticipated-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-or-Anticipated-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-or-Anticipated-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-or-Anticipated-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay-or-Anticipated-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-or-Anticipated-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-or-Anticipated-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-or-Anticipated-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-or-Anticipated-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-or-Anticipated-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-or-Anticipated-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-or-Anticipated-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-or-Anticipated-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-or-Anticipated-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-or-Anticipated-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-or-Anticipated-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay-or-Anticipated-Expenditure","Uttarakhand-Approved-Outlay","Uttarakhand-Revised-Outlay-or-Anticipated-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay-or-Anticipated-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-or-Anticipated-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-or-Anticipated-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-or-Anticipated-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-or-Anticipated-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-or-Anticipated-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-or-Anticipated-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-or-Anticipated-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-or-Anticipated-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-or-Anticipated-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-or-Anticipated-Expenditure"
"X","2011-12","SOCIAL SERVICES","Education: 2. Technical Education",58326.0,58326.0,0.0,0.0,2830.0,3191.57,11251.88,8751.88,5727.0,5727.0,6070.0,6070.0,38131.11,38131.11,17100.0,35100.0,3390.0,3390.0,1825.0,1825.0,7400.0,7400.0,15340.0,15340.0,7919.0,7919.0,5360.0,5360.0,39197.28,39197.28,1470.0,1328.0,1750.0,1246.0,320.0,375.67,303.0,453.0,4850.0,4000.0,5091.0,4880.5,5556.2,5556.2,133.48,133.48,8235.0,31294.0,155.5,1829.71,13484.0,11000.0,6568.66,6568.66,39420.5,39420.5,307204.61,343814.56,1291.0,1291.0,2081.0,2126.0,501.0,501.0,642.0,642.0,20813.0,20813.0,0.0,0.0,12300.0,7094.0,37628.0,32467.0,344832.61,376281.56
"X","2011-12","SOCIAL SERVICES","Education: 3. Sports & Youth Services ",8732.75,8732.75,650.0,650.0,1208.6,1263.6,3316.67,6747.67,3533.0,3533.0,5185.0,5185.0,17234.73,17234.73,2500.0,4622.52,1146.0,1146.0,8200.0,8200.0,4240.0,3941.0,10067.0,10067.0,5550.0,5550.0,6295.0,6295.0,21218.05,21218.05,3718.0,3718.0,2185.0,2185.0,2348.56,2318.0,5472.94,6100.49,1200.0,900.0,4815.33,5507.0,1150.0,1150.0,730.08,730.08,1628.23,1865.0,156.33,636.69,6018.0,3749.0,3899.57,3899.57,9375.1,9375.1,141773.94,146520.25,308.0,308.0,1598.0,1789.0,22.0,22.0,562.6,562.6,2160.0,2160.0,300.0,300.0,1162.89,1162.89,6113.49,6304.49,147887.43,152824.74
"X","2011-12","SOCIAL SERVICES","Education: 4. Art & Culture",12019.67,12019.67,572.63,572.63,6507.41,5241.91,2500.0,0.0,2064.0,2064.0,18799.0,18799.0,7754.06,7754.06,350.7,870.7,270.0,270.0,1600.0,1600.0,3260.0,1260.0,25475.0,25475.0,3755.0,3755.0,6789.76,6789.76,10333.76,10333.76,2403.5,2010.5,3425.0,3670.0,469.0,470.5,460.0,702.24,3611.0,3296.0,10358.0,6296.0,2717.11,2717.11,1941.77,1941.77,197.52,0.0,45.0,328.33,4157.0,821.0,2494.5,2494.5,5744.3,5744.3,140074.69,127297.74,261.0,261.0,668.0,510.0,17.0,17.0,66.0,66.0,3190.0,3190.0,330.0,330.0,910.0,685.0,5442.0,5059.0,145516.69,132356.74
"X","2011-12","SOCIAL SERVICES","Education: Sub-Total ",351772.61,351772.61,12088.06,12088.06,72268.13,72439.21,318543.55,341152.55,404375.0,404375.0,47224.0,47224.0,232032.52,232032.52,192752.7,215250.8,35507.0,35507.0,107564.56,107564.56,134900.0,132601.0,285161.0,285161.0,51092.0,51092.0,338688.03,338688.03,218100.4,218100.4,18953.72,16053.72,27196.0,28051.0,21898.56,24992.0,11520.94,13568.07,155112.0,140647.0,114397.83,128482.81,171271.64,171271.64,15472.63,15472.63,190156.75,263718.0,21498.03,21458.93,379415.0,364522.0,79087.4,79087.4,300700.0,300700.0,4308750.06,4413073.94,15908.0,15908.0,11284.0,10353.0,5474.0,5474.0,3301.0,3301.0,134063.0,134063.0,2830.0,2830.0,33676.07,18670.59,206536.07,190599.59,4515286.13,4603673.53
"X","2011-12","SOCIAL SERVICES","5. Medical & Public Health",171288.52,171288.52,5808.0,5808.0,47486.71,59250.71,54450.0,41668.0,83539.0,83539.0,12462.0,12462.0,219524.47,219524.47,49831.0,55123.63,16442.0,16442.0,33331.11,33331.11,64700.0,38000.0,130197.0,130197.0,41665.0,41665.0,66085.0,66085.0,147171.86,147171.86,14955.0,26345.0,17300.0,16800.0,8775.0,8726.62,3224.0,4838.38,32385.0,26135.0,31490.85,29576.7,66353.47,66353.47,12801.44,12801.44,149644.0,109805.0,25615.36,22407.33,204964.0,94109.0,42375.57,42375.57,87384.5,87384.5,1841249.86,1669214.31,8339.0,8339.0,8504.0,8066.0,3658.0,3658.0,2123.0,2123.0,182110.0,182110.0,1400.0,1400.0,28067.5,22667.0,234201.5,228363.0,2075451.36,1897577.31
"X","2011-12","SOCIAL SERVICES","6. Water Supply & Sanitation",109336.0,109336.0,9534.69,9534.69,9317.0,12939.0,31485.74,29648.74,32809.0,32809.0,22135.0,22135.0,212846.8,212846.8,77000.0,67713.0,18950.0,18950.0,20606.7,20606.7,30000.0,27000.0,217110.0,217110.0,90897.0,90897.0,39394.74,39394.74,99387.81,99387.81,20500.0,11384.0,11900.0,11900.0,7176.13,7322.13,1187.0,2613.39,42050.0,28550.0,66887.0,43523.0,142094.46,142094.46,1412.64,1412.64,105558.0,105558.0,7495.81,7019.23,166495.0,75402.0,54636.66,54636.66,79052.0,79052.0,1727255.18,1580775.99,6316.0,6316.0,210.0,141.0,1871.0,1871.0,2594.0,2594.0,185011.0,185011.0,2000.0,2000.0,20142.0,10692.85,218144.0,208625.85,1945399.18,1789401.84
"X","2011-12","SOCIAL SERVICES","7. Housing (incl. Police Housing)                       ",231138.0,231138.0,4759.43,4759.43,420.0,420.0,122726.06,116226.06,11857.0,11857.0,1815.0,1815.0,148956.27,148956.27,10110.0,11610.0,5318.0,5318.0,900.0,900.0,1000.0,1000.0,113480.0,113480.0,4400.0,4400.0,14651.2,14651.2,215540.46,215540.46,8559.26,8014.26,1300.0,1300.0,4651.67,4573.67,14908.6,16667.75,19001.0,19001.0,300.2,0.0,38935.37,38935.37,1625.0,1625.0,2139.0,12915.0,1868.34,1346.91,123233.0,95724.0,2500.0,2500.0,86116.0,86116.0,1192208.86,1170790.38,2817.0,2817.0,3134.0,2827.0,450.0,450.0,232.0,232.0,45780.0,45780.0,2000.0,2000.0,20588.01,8294.74,75001.01,62400.74,1267209.87,1233191.12
"X","2011-12","SOCIAL SERVICES","8. Urban Development (incl. State Capital Projects & slum Area Development)",318064.5,318064.5,8299.34,8299.34,76033.9,79964.0,87250.0,33743.0,115086.0,115086.0,17032.0,17032.0,301360.0,301360.0,101740.0,132327.0,6892.0,6892.0,29272.48,29272.48,105000.0,49594.0,328205.0,328205.0,58036.0,58036.0,115586.61,115586.61,378448.91,378448.91,13644.59,13056.13,16250.0,17212.0,8043.4,5236.16,11817.0,6064.01,36138.0,11325.0,14200.0,7152.0,303635.32,303635.32,22660.54,22660.54,223867.0,222673.0,11427.99,9656.99,541743.0,527393.0,31567.14,31567.14,344899.0,344899.0,3626199.72,3494441.13,3364.0,3364.0,31328.0,31662.0,2013.0,2013.0,3005.0,3005.0,150570.0,150570.0,1500.0,1500.0,21854.55,5545.91,213634.55,197659.91,3839834.27,3692101.04
"X","2011-12","SOCIAL SERVICES","9. Information & Publicity",2755.0,2755.0,294.0,294.0,350.0,489.0,851.43,651.43,60.0,60.0,1247.0,1247.0,5000.0,5000.0,2650.0,51980.0,50.0,50.0,597.56,597.56,1650.0,1650.0,3305.0,3305.0,2000.0,2000.0,533.0,533.0,887.45,887.45,135.0,111.0,1200.0,1200.0,285.0,294.5,650.0,697.7,875.0,700.0,1786.0,1645.0,4.46,4.46,417.61,417.61,1151.0,210.0,853.8,811.86,50.0,30.0,755.78,755.78,751.1,751.1,31145.19,79128.45,196.0,196.0,40.0,40.0,12.0,12.0,22.0,22.0,0.0,0.0,150.0,150.0,170.0,125.0,590.0,545.0,31735.19,79673.45
"X","2011-12","SOCIAL SERVICES","10. Development of SCs, STs & OBCs",318244.5,318244.5,0.0,0.0,11665.05,11399.05,41000.32,88055.92,22843.0,22843.0,5327.0,5327.0,144271.41,144271.41,10000.0,10000.0,4472.0,4472.0,1990.1,1990.1,46675.0,53277.0,129287.0,129287.0,73968.0,73968.0,65173.89,65173.89,325633.11,325633.11,5235.0,4035.0,20.0,20.0,0.0,0.0,0.0,0.0,47100.0,44600.0,27504.61,26583.11,48815.23,48815.23,98.96,98.96,102449.0,70854.0,6555.25,6828.05,105539.0,61619.0,10917.1,10917.1,28932.0,28932.0,1583716.53,1557244.43,300.0,300.0,87.0,80.0,99.0,99.0,58.0,58.0,25000.0,25000.0,0.0,0.0,8413.0,4992.37,33957.0,30529.37,1617673.53,1587773.8
"X","2011-12","SOCIAL SERVICES","11. Labour & Employment",7374.79,7374.79,253.39,253.39,9459.06,5965.06,10366.53,9185.53,11151.0,11151.0,7765.8,7765.8,33443.5,33443.5,14165.0,1743.57,49.0,49.0,10747.22,10747.22,47650.0,44650.0,31946.0,31946.0,35355.0,35355.0,10212.38,10212.38,4109.0,4109.0,702.0,9157.59,1805.0,1650.0,250.0,274.21,869.0,1085.15,3793.0,3862.0,6905.94,2472.5,1551.69,1551.69,89.57,89.57,21900.0,21900.0,1560.08,1493.99,12137.0,5811.0,4989.57,4989.57,11239.5,11239.5,301840.02,279528.01,469.0,469.0,75.0,102.0,79.0,79.0,324.0,324.0,1850.0,1850.0,200.0,200.0,1005.0,838.5,4002.0,3862.5,305842.02,283390.51
"X","2011-12","SOCIAL SERVICES","12. Social Security & Social Welfare",32155.78,32155.78,3148.5,3148.5,14001.0,14576.0,103374.47,103886.57,21120.0,21120.0,19697.0,19697.0,36216.06,36216.06,236655.0,169806.0,7948.0,7967.69,13811.52,13811.52,13922.0,13922.0,69338.0,69338.0,27560.0,27560.0,85040.6,85040.6,193705.78,193705.78,11126.95,3756.95,3700.0,3625.0,1750.0,2100.88,2483.0,2623.71,60040.5,71354.5,76080.39,80256.26,24116.33,24116.33,1091.3,1091.3,210911.83,309285.0,13779.85,12269.64,386968.0,336253.0,27210.4,27210.4,90886.5,90886.5,1787838.76,1776780.97,935.0,935.0,458.0,383.8,147.0,147.0,234.0,234.0,55540.0,55540.0,150.0,150.0,4800.0,5107.61,62264.0,62497.41,1850102.76,1839278.38
"X","2011-12","SOCIAL SERVICES","13. Empowerment of Women & Development of Children",53127.44,53127.44,360.0,360.0,4450.0,4000.0,70587.53,70587.53,137130.0,137130.0,2107.5,2107.5,168749.61,168749.61,19200.0,33881.26,4021.0,4021.0,9706.89,9706.89,73147.0,73147.0,109823.0,109823.0,1666.0,1666.0,152004.97,152004.97,372816.24,372816.24,880.0,480.0,1910.0,1910.0,635.0,635.0,922.0,1025.79,77000.0,90582.0,16294.4,16294.4,38542.52,38542.52,808.27,808.27,87221.54,144231.0,12.68,52.35,190227.0,169357.0,15654.0,15654.0,177849.5,177849.5,1786854.09,1850550.27,14186.0,14186.0,1399.0,1385.2,130.0,130.0,240.0,240.0,49255.0,49255.0,163.0,163.0,15804.23,16385.62,81177.23,81744.82,1868031.32,1932295.09
"X","2011-12","SOCIAL SERVICES","TOTAL - SOCIAL SERVICES",1595257.14,1595257.14,44545.41,44545.41,245450.85,261442.03,840635.63,834805.33,839970.0,839970.0,136812.3,136812.3,1502400.64,1502400.64,714103.7,749435.26,99649.0,99668.69,228528.14,228528.14,518644.0,434841.0,1417852.0,1417852.0,386639.0,386639.0,887370.42,887370.42,1955801.02,1955801.02,94691.52,92393.65,82581.0,83668.0,53464.76,54155.17,47581.54,49183.95,473494.5,436756.5,355847.22,335985.78,835320.49,835320.49,56477.96,56477.96,1094998.12,1261149.0,90667.19,83345.28,2110771.0,1730220.0,269693.62,269693.62,1207810.1,1207810.1,18187058.27,17871527.88,52830.0,52830.0,56519.0,55040.0,13933.0,13933.0,12133.0,12133.0,829179.0,829179.0,10393.0,10393.0,154520.36,93320.19,1129507.36,1066828.19,19316565.63,18938356.07
"XI","2011-12","GENERAL SERVICES","GENERAL SERVICES",25759.0,25759.0,2878.35,2878.35,71974.52,70878.52,91332.59,44569.3,44760.0,44760.0,50492.05,50492.05,2958.02,2958.02,724537.0,706705.0,5448.0,5448.0,63734.3,63734.3,22600.0,24070.0,66420.0,66420.0,260535.0,260535.0,20178.5,20178.5,177821.72,177821.72,4753.7,12711.31,7040.0,5567.0,23458.44,23601.65,8702.22,9790.5,17837.1,18239.0,19318.04,15737.24,14726.57,14726.57,5531.0,5531.0,10811.0,2784.0,6844.25,11803.05,24702.0,14521.0,154945.61,154945.61,40358.0,40358.0,1970456.98,1897523.69,5490.0,5490.0,1549.0,1503.0,1548.0,1548.0,1699.0,1699.0,43585.0,43585.0,576.0,576.0,20362.07,7795.43,74809.07,62196.43,2045266.05,1959720.12
"XII","2011-12","GRAND TOTAL         ","GRAND TOTAL         ",4300000.0,4300000.0,320000.0,320000.0,900000.0,900000.0,2400000.0,2139000.0,1671027.0,1671027.0,332000.0,332000.0,3800000.0,3800000.0,2035800.0,2033000.0,330000.0,330684.69,660000.1,660000.1,1532275.0,1223275.0,3807002.0,3807002.0,1201000.0,1201000.0,2300000.0,2300000.0,4200000.0,4200000.0,321000.0,275401.97,272700.0,272818.0,170000.0,162493.91,181000.0,167435.75,1520000.0,1230000.0,1152000.0,970246.6,2750000.0,2750000.0,140000.0,140000.0,2353499.12,2353502.0,195000.0,164305.0,4700000.0,4239531.0,780000.0,780000.0,2221400.0,2221400.0,46545703.22,44944123.02,143484.0,143484.0,66189.0,66189.0,33635.0,33635.0,32495.0,32495.0,1513301.0,1513301.0,38879.0,38879.0,275000.0,166400.0,2102983.0,1994383.0,48648686.22,46938506.02
