"Name of Agency","Address","Phone","Fax","Email","Region","City","State","Contact Person","TYPE"
"M/S SIDDHARTHA INTERNATIONAL","""41-C Middle Circle,Connaught Place""","""011-2341 7433, 011-2341 6677""","011-2341 7434","siddarth@ndf.vsnl.net.in","North","NEW DELHI","Delhi","MR.MANOJ SALUJA","Inbound Tour Operator"
"M/S ASAHI TRAVEL SERVICE PVT. LTD.","""212, Ansal Chamber II,6, Bhikaji Cama Place""","""011-2619 3693, 011-2619 3695""","011-2619 3695","asahitrl@nda.vsnl.net.in","North","NEW DELHI","Delhi","MR. SURESH ANAND","Inbound Tour Operator"
"M/S. MAX HOLIDAYS INDIA PRIVATE LTD.","""809, ITL Twin Towers, B - 09, Netaji Subhash Place,Pitam Pura, Ring Road""","""011 - 4050 4050""","011 - 4050 4000","maxholidays@vsnl.net","North","NEW DELHI","Delhi","MR. VISHAL GOGIA","Inbound Tour Operator"
"M/S. AMBASSADOR HOLIDAYS (INDIA) PVT. LTD.","""F - 16, Bhagat Singh Market""","""011 - 2334 2633, 011 - 2334 2635""","011 - 2334 2631","ambassador@ambholidays.com","North","NEW DELHI","Delhi","MS. PREETI MAHAJAN","Inbound Tour Operator"
"M/S ECO HOLIDAYS PVT. LTD","""L-62, 3rd Floor,Sriniwaspuri""","""011- 2693 4955, 011 - 2693 4954""","011-2691 6595","eco@ndf.vsnl.net.in","North","NEW DELHI","Delhi","CAPT V.D PRASAD","Inbound Tour Operator"
"M/S INCENTIVES AND CONVENTIONS TOURS PVT. LTD","""F.F.1, Composit House,170-171, Prajapat Nagar""","""011-2685 9877, 011-2685 8066""","011-2685 8044","Info@incentivetravelindia.com","North","NEW DELHI","Delhi","MR.SATYA MITROO","Inbound Tour Operator"
"M/S UNIEXPRESS (P) LTD","""106, Rohit House,3 Tolstoy Marg""","""011-4150 5550, 011- 4150 5551""","011-2335 5266","unex@vsnl.com","North","NEW DELHI","Delhi","MR.SAMEER GUPTA","Inbound Tour Operator"
"M/S JETAIR TOURS PVT. LTD","""Jetair House , 13 Community Centre,Yusuf Sarai""","""011-2685 7305, 011-2685 7308""","011- 2685 7313","jetairtoursdel@jetair.co.in","North","NEW DELHI","Delhi","MR. P. S. BISHT","Inbound Tour Operator"
"M/S AMBER TOURS PVT. LTD.","""707, Akashdeep, 7th Floor,,Barakhamba Road""","""011-23312773, 011-23313229""","011-23312984","amber@nda.vsnl.net.in","North","NEW DELHI","Delhi","MS. LALITA DAS GUPTA","Inbound Tour Operator"
"M/S NEW AGE TOURS & TRAVELS PVT.LTD","""205, Adhunik Chambers ,13/29,East Patel Nagar""","""011-2581 4279, 011-2581 9621""","011-2578 1599","newagett@del3.vsnl.net.in","North","NEW DELHI","Delhi","MR.J .M .BHANDARI","Inbound Tour Operator"
"M/S INDIANA TRAVELS (P) LTD.","""124, Yashwant Place,Chanakyapuri""","""011-2467 1990, 011-2467 1993""","011-2467 1790","indianain@indiananetwork.com","North","NEW DELHI","Delhi","MR. A.K.KAPOOR","Inbound Tour Operator"
"M/S UNIVERSAL TRAVELS & ALLIED SERVICES","""142, Ist Floor,Janpath Hotel""","""011-2334 4897, 011-2334 3820""","011-2336 8569","utas@del2.vsnl.net.in","North","NEW DELHI","Delhi","M/S R.RAWAL","Inbound Tour Operator"
"M/S ABERCROMBIE & KENT INDIA LTD.","""Plot No.20, Block B-6, Local Shopping Centre,Safdarjung Enclave""","""011-26178418, 011-26178419""","011-26185056","akindia@vsnl.com","North","NEW DELHI","Delhi","MR. M.SESHADRI","Inbound Tour Operator"
"M/S VENTOURS INTERNATIONAL TRAVEL PVT.LTD","""1, Cariappa Marg, Sainik Farms,(Branch office)""","""011- 2955 3281, 011- 2955 3282""","011-2955 3126","ventdel@del2.vsnl.net.in","North","NEW DELHI","Delhi","MR.VIVIAN.M.PERES","Inbound Tour Operator"
"M/S TRAVEL PALS (INDIA) PVT.LTD","""110-B Humayunpur,Safdarjung Enclave""","""011-2617 7597, 011-2617 7598""","011-2617 7118","travelpals@vsnl.com","North","NEW DELHI","Delhi","MR.MOHIT CHOPRA","Inbound Tour Operator"
"M/S EXCEL NETWORK TOUR & CONFRENCE ORGANIERS","""55, Rani Jhansi Road""","""011- 4357 1334, 011- 4357 1335""","011-4357 1334","exceltours@airtelbroadband.in","North","NEW DELHI","Delhi","MR. MANISH MEHRA","Inbound Tour Operator"
"M/S COSMOPOLITAN TOUR OPERATOR & TRAVEL AGENTS.","""3,Yashwant Place,Chanakya Puri""","""011- 2467 6247, 011- 2467 6631""","011-2688 2072","csmopltn@del2.vsnl.net.in","North","NEW DELHI","Delhi","MAJOR MURLI DHAR","Inbound Tour Operator"
"M/S THE TRAVEL CIRCUIT","""207 , Allied House,# 1 Local Shopping Centre, Pushp Vihar, Madangir""","""011-4164 9910""","011-4164 9911","sanjay@travelcircuit.in","North","NEW DELHI","Delhi","MR.SANJAY VERMAN","Inbound Tour Operator"
"M/S SCENIC JOURNEYS PVT. LTD.","""57, 2nd Floor,,Old Rajinder Nagar Market""","""011-2574 6055, 011 - 5243 2554""","011-2581 6055","scenic@eth.net","North","NEW DELHI","Delhi","MR. S.N. SHARMA","Inbound Tour Operator"
"M/S MAGADH TRAVELS & TOURS PVT. LTD","""101, Sai Bhawan, Ranjeet Nagar,, Commerical Complex""","""011-2589 4240, 011-2589 4241""","011-2589 4405","magadhtours@vsnl.net","North","NEW DELHI","Delhi","MR RAM ANUJ KUMAR","Inbound Tour Operator"
"M/S HI TOURS (INDIA) PRIVATE LIMITED","""33-34, Regal Building,Parliament Street""","""011-4150 1611""","011-2334 5974","office@hi-tours.com","North","NEW DELHI","Delhi","MR. PREM SYAL","Inbound Tour Operator"
"M/S THE TRAVEL CO.","""5/42, Kanishka Complex,,K-Block, Kalkaji""","""011-2647 5342, 011-2646 3555""","011-2648 1812","labhitab@giasdl01.vsnl.net.in","North","NEW DELHI","Delhi","MS AYESHA LUMBA","Inbound Tour Operator"
"M/S TRAVEL MONITOR (INDIA)","""Flat No. 203, Victoria Cross Building, 4/55,Saraswati Marg, W.E.A., Karolbagh""","""011-2582 7769, 011-2582 7770""","011-4102 7775","travelmonitor@vsnl.com","North","NEW DELHI","Delhi","MR. VINOD SUNDRIYAL","Inbound Tour Operator"
"M/S EXOTIQUE EXPEDITIONS PVT.LTD","""207, RG Complex, Plot-8, Central Market Sector-5,Dwarka""","""011-2808 1341, 011-2808 1342""","011-2808 1343","exotique@vsnl.net","North","NEW DELHI","Delhi","MR.V.JAYARAMAN","Inbound Tour Operator"
"M/S CULTURE HOLIDAYS (INDIA) PVT. LTD.","""306, Namdhari Chambers, D B Gupta Road,Karol Bagh.""","""011-4508 0808""","011-4154 6820","info@cultureholidays.com","North","NEW DELHI","Delhi","SHRI.SANJAY BHASIN","Inbound Tour Operator"
"M/S PRC TOURISM (P) LTD.","""23/4, Chadha Bhawan,Shakti Nagar""","""011- 2384 3036, 011- 4235 1055""","011-2384 1486","prctourism@airtelbroadband.in","North","NEW DELHI","Delhi","MR DEEPAK KUMAR","Inbound Tour Operator"
"M/S LOTUS TRANS TRAVELS PVT. LTD.","""6A & B Gopala Tower,,25, Rajendra Place""","""011-2573 5073, 011-2571 8125""","011-2575 1960","lotus@del3.vsnl.net.in","North","NEW DELHI","Delhi","MR. LAJPAT RAI","Inbound Tour Operator"
"M/S ECO ADVENTURES PVT. LTD","""8, Malcha Marg, Shopping Centre,,Diplomatic Enclave, Chankya Puri""","""011-2611 5504, 011-2611 5505""","011-2410 5158","eco@magical-ecoadventures.com","North","NEW DELHI","Delhi","COL. S.S. SINGH","Inbound Tour Operator"
"M/S ONKAR TRAVELS","""H-10, Connaught Circus""","""011-2335 8133, 011-4355 3300""","011-2332 2693","onkartravels1@yahoo.com","North","NEW DELHI","Delhi","MR. TARIQ ZAMAN","Inbound Tour Operator"
"M/S UNITOP TOURS & TRAVEL (P) LTD.","""DDA 2 F/506, Commerical Flat,District Centre, Janakpuri (Head Office)""","""011-2850 1300, 011-2555 0992""","011-2555 0991","unitop@airtelmail.in","North","NEW DELHI","Delhi","MR. SUBODH MATHUR","Inbound Tour Operator"
"M/S TRAVEL VENTURE INDIA PVT. LTD","""7A/44, W.E.A., Channa Market,Karolbagh""","""011-2576 2457, 011- 2576 2458""","011-4145 15124","tvi786@yahoo.com","North","NEW DELHI","Delhi","MR. NAZIR AHMED DANDOO","Inbound Tour Operator"
"M/S. NIRVANA VOYAGES PVT. LTD.","""P - 27 / Room No. 302, IIIrd Floor,,Malviya Nagar, Main Market""","""011 - 4614 2792""","011 - 4614 2792","vishal@nirvanatrails.com","North","NEW DELHI","Delhi","MR. VISHAL BHATNAGAR","Inbound Tour Operator"
"M/S THE GREAT INDIA TOUR COMPANY PVT LTD.","""B - 34, A, Ground Floor, Kalkaji, Near 1st,Golchakkar, Kalkaji""","""011-2644 9701, 011-2644 9702""","011-2647 3783","delhi@gitctour.com","North","NEW DELHI","Delhi","MR. E. M. NAJEEB","Inbound Tour Operator"
"M/S TRAVELITE (INDIA)","""RZ -A/96, Road No.6,Street No.09, Mahipalpur Extension""","""011-2372 3166, 011-4719 5100""","011-2372 2879","tours@traveliteindia.com","North","NEW DELHI","Delhi","MR.SARAB JIT SINGH","Inbound Tour Operator"
"M/S VEDI'S INTERNATIONAL TOURS & TRAVELS","""G - 32, Scindia House, Janpath""","""011-4151 7749, 011-4151 7750""","NA","info@veditours.com","North","NEW DELHI","Delhi","MR. ANIL SHARMA","Inbound Tour Operator"
"M/S SPECTRUM HOLIDAYS PVT. LTD.","""62, First Floor, J - Block, L.S.C. Vikaspuri""","""011 - 2854 1095, 011 -2854 1296""","011 - 2854 1094","spectrumholiday@vsnl.net","North","NEW DELHI","Delhi","MR. ANIMESH KAPOOR","Inbound Tour Operator"
"M/S INDO JOURNEYS PVT. LTD.","""3, Gangotri Bhawan, 111/9, Kishangarh,Aruna Asaf Ali Marg, Vasant Kunj""","""011 - 2612 1294, 011 - 2612 1295""","011 - 2689 3455","indojouneys@vsnl.net","North","NEW DELHI","Delhi","MR. HEERA LOHIA","Inbound Tour Operator"
"M/S A.G. TOURS PVT. LTD.","""252 - F, First Floor, Sant Nagar, East of Kailash,Part - II""","""011 - 2621 6619, 011 - 2641 3781""","011 - 2621 6618","travel@agtoursindia.com","North","NEW DELHI","Delhi","MR. GOURI SHANKAR SINGH","Inbound Tour Operator"
"M/S INDO HOLIDAYS PVT LTD.","""F - 27, Ground Floor, West Patel Nagar""","""011 - 6541 7771, 011 - 6541 772""","011 - 4544 0230","indhols@bol.net.in","North","NEW DELHI","Delhi","MR. PRASHANT TOMAR","Inbound Tour Operator"
"M/S WANDERLUST TRAVELS PVT. LTD.,","""G - 18, 2nd Floor, Masjid Moth, Greater Kailash,Part - II""","""011 - 2922 8483, 011 - 4053 7115""","011 - 2922 3001","travel@wanderlustindia.com","North","NEW DELHI","Delhi","MAJ S. K. YADAV","Inbound Tour Operator"
"M/S CHARIOTINDIA TRAVEL SERVICES","""H - 10 (Top Floor) South Extension - I""","""011 - 2460 3132, 011 - 4614 2432""","011 - 2465 3277","sales@chariotindia.com","North","NEW DELHI","Delhi","MR PRABODH BADONI","Inbound Tour Operator"
"M/S PARADISE TOUR COMPANY (INDIA) PVT. LTD.","""BG - 8/211, DDA Commercial Complex,,Paschim Vihar""","""011 - 4505 0505, 011 - 4505 0500""","011 - 4505 0555","ptc@airtelmail.in","North","NEW DELHI","Delhi","MR RAVI GUPTA","Inbound Tour Operator"
"M/S TWU TRAVEL WITH US Pvt Ltd","""Aggarwal Complex, 301, 3rd Floor,Bldg., No.C-1, Local Shopping Centre, A - 1/B, Janakpuri""","""011 - 4519 9100, 011 - 2551 3051""","011 - 2551 3052","saigal@nde.vsnl.net.in","North","NEW DELHI","Delhi","MR. SHYAM M. SAIGAL","Inbound Tour Operator"
"M/S DOMINION TRAVEL PVT. LTD.","""108 - G, Anupam Apartments, M.B. Saket""","""011 - 4266 4001, 011 - 2953 1270""","NA","011 - 2953 1270","North","NEW DELHI","Delhi","MR. MUKESH MANRA","Inbound Tour Operator"
"M/S. ELITE HOLIDAYS TOUR & TRAVELS PVT.LTD.","""149A, 3rd Floor, Baba House, Kilokri,,Opp. Maharani Bagh""","""011 - 4282 8774, 011 - 2634 3313""","011 - 4282 8775","info@eliteholidays.in","North","NEW DELHI","Delhi","MR. S.K.SINGH","Inbound Tour Operator"
"M/S. DYNAMIC TOURS (P) LTD.","""Suite 206, Rakesh Deep, 11 Commercial Complex,Gulmohar Enclave""","""011 - 2651 6770, 011 - 2685 3760""","011 - 2686 5212","dynamictours@tigersindia.com","North","NEW DELHI","Delhi","MS. INDU SANKHALA","Inbound Tour Operator"
"M/S. SAGA WORLD TRAVELS (TRAVEL AGENTS & TOUR OPERATORS)","""G - 34, Scindia House, Behind Air India,Janpath""","""011 - 2331 8065, 011 - 2371 7894""","011 - 2331 4853","sagaworldtravels@hotmail.com","North","NEW DELHI","Delhi","MR. MOHAN SINGH VARMA","Inbound Tour Operator"
"M/S. MAXXFUN HOLIDAYS PVT. LTD.","""511 & 512, Vishwa Sadan, District Centre,Janakpuri,""","""011 - 4312 5312""","011 - 4312 5301","mail@maxxfunholidays.com","North","NEW DELHI","Delhi","MR. SURPAL SINGH","Inbound Tour Operator"
"M/S. LALL WORLD TRAVELS","""B - 409, Ansal Chamber - I, Bhikaji Cama Place,Africa Avenue""","""011 - 2618 6932, 011 - 2618 7049""","011 - 2618 7049","lallworld@yahoo.co.in","North","NEW DELHI","Delhi","MR S. B. LALL","Inbound Tour Operator"
"M/S FLEXI TOURS PVT. LTD.","""Taneja House, F.F. I - 84, Lajpat Nagar - II""","""011 - 4652 4652""","011 - 2981 2210","info@flexitours.net","North","NEW DELHI","Delhi","MR.RAMAN S. TANEJA","Inbound Tour Operator"
"M/S. SRC AVIATION (P) LTD.","""D - 90B, Chattarpur Enclave, (100 Feet Road)""","""011 - 4176 7616, 011 - 4176 8381""","011 - 2630 3710","operations@srcaviation.com","North","NEW DELHI","Delhi","MR. ARVIND CHADHA","Inbound Tour Operator"
"M/S R R VENTURES HOLIDAYS PVT. LTD.","""B-22, Sector-36""","""0120-2573082, 0120-2571551""","0120-2572676","rventures@dishnetdsl.net","North","NOIDA","Uttar Pradesh","MR. RAHUL SHARMA","Inbound Tour Operator"
"M/S AMAZING INDIA HOLIDAYS PVT. LTD","""1st Floor, D - 39, Sector - 36,Noida""","""0120- 4259 891, 0120 - 4259 893""","0120 - 4259 892","amazingindiaholidays@airtelbro","North","NOIDA","Uttar Pradesh","MR VIJAY RAGHAVAN","Inbound Tour Operator"
"M/S VASCO TRAVEL PVT. LTD","""N - 12, 3rd Floor, Sector - 8,Noida""","""0120 - 4601390""","0120 - 4601 381","vasco@vascotravel.net","North","NOIDA","Uttar Pradesh","MR.VIKAS ABBOTT","Inbound Tour Operator"
"M/S. SAVION TRAVEL SERVICES PVT. LTD.","""A - 88, 1st Floor, Sector - IV""","""011 - 4242 181, 011 - 4242 182""","011 - 4242 185","info@saviontravel.com","North","NOIDA","Uttar Pradesh","MR. DHIRENDRA TIWARI","Inbound Tour Operator"
"M/S. DIVINE TOURS & TRAVELS","""D - 157, Delta - I, Greater Noida, G.B. Nagar""","""0120 - 2332 092, 0120 - 6491 935""","NA","info@divine-tours.in","North","NOIDA","Uttar Pradesh","MR. RANJAN PRIYADARSHI","Inbound Tour Operator"
"M/S. INDIAN TRAILS SOURCING SERVICES PVT. LTD.","""Basement C 2/48, Sector - 31, Nodia (NCR Delhi)""","""9999019200, 0120-4208 680""","0120-2450 005","info@indiantrails.in","North","NOIDA","Uttar Pradesh","MR. DANISH JAMIL","Inbound Tour Operator"
"M/S. CEE BEE CEE TRAVELS & TOURS","""SF - 25, Ansals Fortune Arcade, Sector - 18, Gautam Budh Nagar,Nodia""","""0120 - 4282 070, 0120 - 4282 071""","NA","ceebeecee_tours@hotmail.com","North","NOIDA","Uttar Pradesh","MR. C.B.CHETWANI","Inbound Tour Operator"
"M/S. STIM TOURS INDIA PVT. LTD.","""(A Unit of Sea & Sky Travel (I) Pvt. Ltd.), Hotel,Kaisar, 243 - 244, Jawahar Nagar, Srinagar (HO)""","""0194 - 2311 925""","0194 - 2311 925","stimindia@bol.net.in","North","SRINAGAR","Jammu & Kashmir","MR. SHEIKH NADEEM","Inbound Tour Operator"
"M/S. FLOAT & FLY TOUR PVT. LTD.","""Polo View, Srinagar (Branch Office)""","""0194 - 475 418""","0194 - 475 418","floatfly@del2.vsnl.net.in","North","SRINAGAR","Jammu & Kashmir","MR. J.P.SANGAR","Inbound Tour Operator"
"M/S SEA & SKY TRAVEL (I) PVT. LTD","""Polo View (HEAD OFFICE)""","""0194-473587""","0194-478909","nadeem@seaandskytravel.com","North","SRINAGAR","Jammu & Kashmir","MR.SHEIKH NADEEM","Inbound Tour Operator"
"M/S. CENTRE TOUR & TRAVELS","""Bishambar Nagar, Khayam, Dal Gate,Srinagar (Nagin Lake Srinagar)""","""0914 - 2485 151, 0914 - 2486 565""","0914 - 2485 353","cttdelhi@yahoo.com","North","SRINAGAR","Jammu & Kashmir","MR. BASHIR KARNAI","Inbound Tour Operator"
"M/S RESHU BOKTOO & SONS","""Sulaiman Shopping Complex, (HO),Dalgate, P.O.Box - 95""","""0194-2500 507, 0194-2452 916""","0194-2501 647","kashmir@rbstravels.net","North","SRINAGAR","Jammu & Kashmir","MR.LATEEF AHMED BOKTOO","Inbound Tour Operator"
"M/S MEENA TRAVELS PVT.LTD","""Boulevard Road""","""0194-2474 044, 0194-2501 332""","0194-2477 662","kashmir@meenagroup.net","North","SRINAGAR","Jammu & Kashmir","MR.MOHAMED AKRAM SIAH","Inbound Tour Operator"
"M/S. COMFORT TRAVELS & TOURS","""104,""Akruti"", 4,New Fatehpura,Opp. Saheliyon Ki Badi, New Fatehpura""","""0294-2411661-2, 0294-2411663""","0294-2422131","admin@comforttours.com","North","UDAIPUR","Rajasthan","MR. SIDDHARTH CHATUR","Inbound Tour Operator"
"M/S. HOLIDAY TRAVEL TIPS","""Bunglow No. 16, (Near JHV Mall),Cantonment""","""0542 - 2505 542, 0542 - 2509 300""","NA","info@holidatraveltips.org","North","VARANASI","Uttar Pradesh","MR. NAND LAL MISHRA","Inbound Tour Operator"
"M/S. SARNATH TRAVELS & TOURS PVT LTD.","""B, 38/195, K-4, Raghunath Nagar,Mahmoorganj""","""0542 - 2362 946, 0542 - 2360 415""","0542 - 2363 629","sarnathtrv@satyam.net.in","North","VARANASI","Uttar Pradesh","MR. RAJ BANDHU KAHANNA","Inbound Tour Operator"
"M/S. SUPERB TRAVEL & TOURS","""S - 29/431, B - 68, Mehta Nagar, Shivpur,,Varanasi""","""0542 - 2283 345""","0542 - 2280 900","supertrv@sify.com","North","VARANASI","Uttar Pradesh","MR. SUBHASH KAPOOR","Inbound Tour Operator"
"M/S. ADARSH TOURS & TRAVELS","""TSE-KA Commercial Complex, Shop No. 17,31-A,,NH Way, Near Private Taxi Stand & Below IDBI Bank""","""03592 - 320 768""","NA","adarshtour@yahoo.com","North East","GANGTOK","Sikkim","MS. LEELA DEVI CHETTRI","Inbound Tour Operator"
"M/S. VAJRA ADVENTURE TOURS","""Kyitsel House, Arithang Road, Gangtok""","""03592 - 209 676""","NA","slg_vatours@yahoo.com","North East","GANGTOK","Sikkim","MR. LHAKPA TSHERING","Inbound Tour Operator"
"M/S. GALAXY TOURS & TREKS","""31/A, National Highway, Gangtok""","""03592 - 201 290""","03592 - 201 290","sikkim.galaxytours@yahoo.co.in","North East","GANGTOK","Sikkim","MR. NORGAY LACHUNGPA","Inbound Tour Operator"
"M/S. POTALA TOURS & TREKS","""Paljor Stadium Road, Gangtok""","""03592 - 202 041""","03592 - 202 707","slg_potala@sancharnet.in","North East","GANGTOK","Sikkim","MRS. KALSANG CHODEN","Inbound Tour Operator"
"M/S. TRAVEL ZONE","""Church Road, Gangatok""","""9800500311, 9832013211""","NA","travelzone.sikkim@gmail.com","North East","GANGTOK","Sikkim","MR. B. BHAGAT","Inbound Tour Operator"
"M/S. YAK AND YETI TRAVELS & EXPEDITIONS","""Harka Kala Bhawan, Zero Point, 31 A,National Highway, Gangtok""","""94341 - 17418, 92335 - 22344""","NA","treksikkim@gmail.com","North East","GANGTOK","Sikkim","MR. SATISH BARDEWA","Inbound Tour Operator"
"M/S. MARCOPOLO WORLD TRAVELS","""Paljor Stadium Road, Gangtok""","""03592 - 204 116, 03592 - 229 407""","03592 205 078","infoWworldmarcopolo.com","North East","GANGTOK","Sikkim","MR. KARMA TASHI BHUTIA","Inbound Tour Operator"
"M/S. BLUE SKY TOURS & TRAVELS","""Lachung Khangsar, Tibet Road, Gangtok""","""03592 - 203 330""","03592 - 203 330","blueskytourism@yahoo.com","North East","GANGTOK","Sikkim","MR. PALZOR LACHUNGPA","Inbound Tour Operator"
"M/S. SIKKIM TOURS AND TRAVELS","""Church Road, Gangtok""","""03592 - 202 188, 03592 - 227 191""","NA","info@sikkimtours.com","North East","GANGTOK","Sikkim","MR. LUKENDRA RASAILY","Inbound Tour Operator"
"M/S. MYSTIC HIMALAYAN WORLD TRAVELS","""Khati Building, P.N.G.S Road, Gangtok""","""03592-221 116""","03592-229 249","sikkim@mystichimalayan.com","North East","GANGTOK","Sikkim","MR. RANDEEP KHATI","Inbound Tour Operator"
"M/S. THE BROTHER'S","""M. G. Marg, Gangtok""","""03592 - 204 220""","03592 - 200 006","info@brothershorizons.com","North East","GANGTOK","Sikkim","MR. RAKESH SARDA","Inbound Tour Operator"
"M/S. BRAHMAPUTRA CRUISE PRIVATE LIMITED","""Maa Padma Commercial Complex, 289,,A.T. Road, Bharalomukh, Guwahati""","""0361 - 2734 769""","NA","bcplcruise@gmail.com","North East","GUWAHATI","Assam","MR. DEBAJIT KR. BORAH","Inbound Tour Operator"
"M/S. LANDMARK TOURS & TRAVELS ( A UNIT OF BARUA AND COMPANY PVT. LTD.,)","""23, S.K. Bhuyan Road, Digholipukhuri East,Guwahati""","""0361-2730 389, 0361 - 2730 390""","0361 - 2730 336","landmarktours@sify.com","North East","GUWAHATI","Assam","MR. JHIRI BARUA","Inbound Tour Operator"
"M/S. KOYELI TOURS & TRAVELS","""Lahkar Complex (3rd Floor), Jaltiram Lahkar Lane,Piyoli Phookan Road, Rehabari, Guwahati""","""0361 -2203 654, 0361 - 2130 871""","0361 - 2735 207","koyelitravels@gmail.com","North East","GUWAHATI","Assam","MR. ARIJIT PURKAYASTHA","Inbound Tour Operator"
"M/S. FLAMINGO TRAVELS & ADVENTURES (A) PVT. LTD.","""Kamala Marketing Point, 2nd Floor, Opp. Guwahati,Commerce College, R.G.Baruah Road""","""0361 - 2454 669, 0361 - 2456 514""","0361 - 2454 669","info@flamingotravels.com","North East","GUWAHATI","Assam","MR. SANJIV GOGOI","Inbound Tour Operator"
"M/S. NETWORK TRAVELS","""17 Paltan Bazar, G. S. Road,Guwahati""","""0361 - 2605 335, 0361 - 2739 635""","0361 - 2739 693","networkgroup@satyam.net.in","North East","GUWAHATI","Assam","MR. HEMANTA DAS","Inbound Tour Operator"
"M/S. CLIPPER HOLIDAYS","""Suite 406, Regency Enclave, 4, Magrath Road""","""080 - 2559 2023, 080 - 4112 3480""","080 - 2559 9833","clipperbir@airtelbroadband.in","South","BANGALORE","Karnataka","MR. Ranjan Abraham","Inbound Tour Operator"
"M/S. TRAVEL TOURS PVT. LTD.","""1/1, Miller's Arcade, Miller's Road, Vasanth Nagar,Bangalore""","""080 - 2228 7027""","080 - 2228 7029","info@traveltours.in","South","BANGALORE","Karnataka","MR. K. N. KUMAR","Inbound Tour Operator"
"M/S. COSMOPOL TRAVEL (P) LTD.","""A - 301, Queen's Corner, No.3, Queen's Road,Bangalroe""","""080 - 228 1591, 080 - 228 1592""","080 - 220 0154","cosmopol@blr.vsnl.net.in","South","BANGALORE","Karnataka","MR. SURESH KUMAR V","Inbound Tour Operator"
"M/S. ENCHANTING - TRAVELS PVT. LTD.","""No. 3524, 1st Floor, 17th Main, 1st Cross Service,Road, H.A.L. 2nd Stage,""","""080 - 4152 5611""","080 - 4152 5610","infoenchanting-india.com","South","BANGALORE","Karnataka","MR. PARIKSHAT LAXMINARAYAN","Inbound Tour Operator"
"M/S SKYWAY INTERNATIONAL TRAVELS","""(Unit of Vagjiani Travel Co. Pvt Ltd) (HO),Tourism House, Papanna Street, No. 8, St. Marks Rd""","""080- 2211 1401""","080- 2211 1405","skyway@airtelmail.in","South","BANGALORE","Karnataka","MR. S. MAHALINGAIAH","Inbound Tour Operator"
"M/S. SOUTH TOURISM","""No. 440, 2nd 'C' Cross, 4th Block, H.B.R. Layout,,Brindavan Nagar, Bangalore""","""080 - 2543 2929""","NA","tours@southtourism.in","South","BANGALORE","Karnataka","MR. PANDIAN. K","Inbound Tour Operator"
"M/S SOUTHERN TRAVELS PVT.LTD","""Hotel Raj Kamal Complex,Near Shivananda Stores,Kumara Park East (BO)""","""080-22262633, 080-22267040""","080-22252222","southval@blr.vsnl.net.in","South","BANGALORE","Karnataka","MR.A.VENKATESHWARA ROA","Inbound Tour Operator"
"M/S ALHIND TOURS & TRAVELS PVT. LTD.","""Markas Complex,,Mavoor Road""","""0495 -2720 504, 0495 - 3048 888""","0495 - 2724 505","calicut@alhindonline.com","South","CALICUT","kerala","MR. P.V. VALSARAJ","Inbound Tour Operator"
"M/S. COMFORT HOLIDAYS (A DIVISION OF COFORT GROUP)","""6/875 - S, 2nd Floor, YMCA Cultural Complex,,YMCA Cross Road, Calicut""","""0495 - 2762 570""","0495 - 2762 573","info@comfortholidays.co.in","South","CALICUT","kerala","MR. MOHIYUDHEEN","Inbound Tour Operator"
"M/S. WELCOME TOURS AND TRAVELS","""150, Mount Road""","""044 - 2846 0677""","044 - 2846 1645","welcome@md2.vsnl.net.in","South","CHENNAI","Tamilnadu","MR. D. KARUNANIDHI","Inbound Tour Operator"
"M/S. CHARU TRAVELS & TOURS PVT. LTD.","""No. 5, Ground Floor, First Main Road,,Kasturibai Nagar, Adyar""","""044 - 4218 7198, 044 - 4218 8800""","044 - 4218 7108","charutravels@airtelmail.in","South","CHENNAI","Tamilnadu","MR. R. PANDIAN","Inbound Tour Operator"
"M/S. FULCRUM TOURS & TRAVELS (P) LIMITED","""No. 4, G.S. Colony, Off. Chamiers Road,Chennai""","""044 - 2435 2466""","044 - 2435 2467","info@fulcrum.co.in","South","CHENNAI","Tamilnadu","MR. K. R. SUBRAMONIAM","Inbound Tour Operator"
"M/S. INDO ASIA LEISURE SERVICES LTD.","""1k, Mandira Appartments, 23-D, North Boag Road,T. Nagar, (Branch Office)""","""044 - 2815 2473, 044 - 2815 5785""","044 - 2815 2313","iatche@eth.net","South","CHENNAI","Tamilnadu","MR. K. RAVI PRASAD","Inbound Tour Operator"
"M/S. TUSHITA TRAVELS PVT. LTD.","""21, Prince Plaza, 2nd Floor, 46, Pantheon Road,(Branch Office)""","""044 - 2855 3164""","044 - 2855 3171","chennai@tushita-india.com","South","CHENNAI","Tamilnadu","MR. AJAY JAITLY","Inbound Tour Operator"
"M/S. STAR TOURS (UNIT OF STAR FOUR HOTELS PVT. LTD.)","""570 / 7, First Floor,,Anna Salai, Teynampet""","""044 - 2435 5572""","044 - 2455 578","startours@vsnl.net","South","CHENNAI","Tamilnadu","MR. ANAND BALAKRISHNAN","Inbound Tour Operator"
"M/S SOUTH TOURISM","""No.1, Z - Block, 19th Street, Anna Nagar (West)""","""NA""","NA","NA","South","CHENNAI","Tamilnadu","MR. PANDIAN","Inbound Tour Operator"
