"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Manipur","Road & Bridges","Improvement of Jiri - Tipaimukh Road (8-48 Km)","NLCPR","31/12/2007","1856.33","1637.95","1228.35","409.60","29/02/2012","30/12/2009",""
"Manipur","Road & Bridges","Construction of Singjamei bridge","NLCPR","29/10/2004","369.00","335.47","335.47","33.97","05/07/2007","31/10/2006","16/11/2009"
"Manipur","Road & Bridges","Construction of RCC bridge over Iril river at Chingaren Mapa in Imphal East, Manipur","NLCPR","28/06/2011","637.12","229.30","0.00","229.30","01/07/2011","30/06/2013",""
"Manipur","Road & Bridges","Construction of Bridge at Irong Ichin","NLCPR","30/11/2006","334.21","292.03","233.28","58.75","14/02/2012","28/11/2008",""
"Manipur","Road & Bridges","Construction of bridge over Jaduiki river on Tamei Kuilong Road","NLCPR","30/09/2009","226.48","158.90","79.00","79.90","11/09/2012","30/09/2011",""
"Manipur","Sports","Construction of District Sports Complex at Tamenglong in Manipur","NLCPR","09/11/2010","748.67","269.50","132.00","269.50","10/11/2010","31/10/2013",""
"Manipur","Sports","Establishment of National Sports Academy at Khuman Lampak Sports complex,Imphal.","NLCPR","30/11/2006","1843.17","1609.08","1161.20","447.88","16/03/2010","31/03/2010",""
"Manipur","Sports","Construction of District Sports Complex at Ukhrul","NLCPR","01/09/2009","919.87","330.00","189.55","330.00","02/09/2009","31/08/2012",""
"Manipur","Sports","Construction of District Sports Complex at Churachandpur in Manipur","NLCPR","09/11/2010","862.01","310.30","124.12","310.30","10/11/2010","31/10/2013",""
"Manipur","Sports","Infrastucrctural devlopment for national games","NLCPR","15/02/1999","1000.00","1000.00","1000.00","1000.00","15/02/1999","25/05/2004","25/05/2004"
"Manipur","Sports","Construction of District Sports Complex at Bishnupur in Manipur","NLCPR","15/12/2010","940.35","338.50","0.00","338.50","29/12/2010","15/12/2013",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Sajik Tampak in Chandel","NLCPR","13/04/2010","263.72","93.00","93.00","93.00","19/07/2010","15/02/2012",""
"Manipur","Water Supply","Augmentation of Konthoujam Water Supply Scheme (Imphal West District)","NLCPR","31/12/2007","885.76","781.56","781.56","234.36","21/04/2011","30/06/2009",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Nunghar in Ukhrul","NLCPR","19/12/2011","544.06","192.00","0.00","192.00","20/12/2011","31/10/2013",""
"Manipur","Water Supply","Augmentation of Water Supply for Churachandpur town from Khuga dam (Khuga river source) - Zone-III","NLCPR","28/02/2003","815.00","783.71","783.70","283.50","27/12/2005","31/03/2006","04/02/2010"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Saikot Block HQr. in Churachandpur","NLCPR","16/07/2009","297.33","198.56","93.66","104.90","14/02/2012","31/07/2011",""
"Manipur","Water Supply","Composite water supply for Senapati District Headquarter","NLCPR","28/02/2003","468.00","451.35","451.38","149.82","27/12/2005","30/04/2006","30/09/2008"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Chingai, block Headquarter (0.17 MLD) at Ukhrul in Manipur","NLCPR","27/12/2012","442.63","159.35","0.00","159.35","27/12/2012","30/12/2014",""
"Manipur","Water Supply","Rehabilitation of Water Supply Scheme at Liyai Khullen in Senapati","NLCPR","16/07/2009","342.98","229.00","108.00","121.00","09/03/2012","31/07/2011",""
"Manipur","Water Supply","Augmentation of Water Supply at Chakpikarong","NLCPR","15/03/2005","115.00","105.82","105.82","49.82","13/12/2010","31/03/2007",""
"Manipur","Water Supply","Augmentation of water supply scheme at Sanghshak in Ukhrul","NLCPR","04/09/2009","690.69","492.35","492.35","248.65","21/04/2011","03/09/2011",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Hengbung, Senapati","NLCPR","21/02/2011","422.76","304.00","152.00","152.00","19/09/2012","28/02/2013",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Kangpokpi","NLCPR","28/10/2004","212.00","193.59","193.59","34.59","31/12/2007","31/10/2006","04/02/2010"
"Manipur","Water Supply","Augmentation of water supply scheme at Changpikot in Churachandpur","NLCPR","30/09/2009","104.53","73.75","36.90","36.85","14/02/2012","30/09/2011",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Noney","NLCPR","28/10/2004","142.00","129.28","129.28","71.28","03/01/2006","30/06/2006","25/05/2007"
"Manipur","Water Supply","Waithou Pat Water Supply Scheme","NLCPR","23/03/2005","5971.00","5287.57","5287.57","1433.67","22/03/2010","31/03/2008","10/07/2012"
"Manipur","Water Supply","Water Supply Scheme at Sapam in Manipur","NLCPR","13/10/2010","257.31","183.30","92.50","90.80","14/02/2012","15/10/2012",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Kamjong Sub-Divisional head quarter in Ukhrul (0.22 MLD)","NLCPR","19/12/2011","524.82","188.90","0.00","188.90","20/12/2011","31/10/2013",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Purul Sub Division HQ","NLCPR","31/12/2007","428.86","378.41","378.41","113.51","23/05/2011","30/06/2009","10/07/2012"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Unopat and Surrounding village","NLCPR","31/03/2008","297.05","262.09","262.09","64.29","09/09/2011","31/03/2010","10/07/2012"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Thanga (1.014 MLD) in Bishnupur, Manipur","NLCPR","15/12/2010","531.26","378.75","191.25","187.50","04/01/2012","31/12/2012",""
"Manipur","Water Supply","Augmentation of Leimaching Water Supply Scheme, Imphal East","NLCPR","22/12/2011","1101.68","388.80","0.00","388.80","22/12/2011","31/12/2014",""
"Manipur","Water Supply","Augmentation of Water Supply for Churachandpur town from Koite and Loklao river sources-Zone-I","NLCPR","28/02/2003","1417.00","1397.00","1397.00","180.00","29/12/2005","31/03/2006","31/07/2008"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Komlathabi in Chandel","NLCPR","16/07/2009","378.58","238.50","119.25","119.25","07/01/2013","31/07/2011",""
"Manipur","Water Supply","Composite water supply for Tamenglong District Headquarter","NLCPR","28/02/2003","470.00","446.30","446.30","213.30","30/06/2005","31/12/2005","26/11/2009"
"Manipur","Water Supply","Composite Water Supply at Motbung in Senapati","NLCPR","20/07/2009","256.45","171.20","76.18","90.50","09/03/2012","31/07/2011",""
"Manipur","Water Supply","Augmentation of Water Supply at Khoupum","NLCPR","15/03/2005","149.00","137.17","137.17","63.17","05/07/2007","31/03/2007","26/11/2009"
"Manipur","Water Supply","Augmentation of water supply at Langthabal Puramkhong in Imphal West","NLCPR","07/09/2009","764.17","674.27","544.80","129.47","27/12/2012","06/09/2011",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Dampi in Churanchandpur","NLCPR","17/03/2011","553.98","398.80","199.40","199.40","18/12/2012","31/03/2014",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Mao","NLCPR","28/10/2004","565.00","514.96","514.96","147.96","12/09/2006","31/10/2006","26/11/2009"
"Manipur","Water Supply","Augmentation of water supply scheme at Sangpikot in Churachandpur","NLCPR","30/09/2009","125.01","88.20","44.10","44.10","12/03/2012","30/09/2011",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Saikul","NLCPR","28/10/2004","168.00","156.00","156.00","88.00","21/10/2005","30/09/2006","26/11/2009"
"Manipur","Water Supply","Rehabilitation of Khomidolk Water Supply System at Imphal East","NLCPR","05/02/2010","459.94","324.60","162.30","162.30","04/01/2012","15/02/2012",""
"Manipur","Water Supply","Augmentation of water supply to Imphal City Phase-1 (29.5 MLD)","NLCPR","30/12/1999","4329.00","4253.20","4253.20","228.20","27/12/2005","31/12/2004","21/07/2009"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Tolloi in Ukhrul","NLCPR","19/12/2011","322.93","116.25","0.00","116.25","20/12/2011","31/10/2013",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Tungjoy","NLCPR","31/12/2007","215.75","190.37","190.37","54.45","23/05/2011","30/06/2009","10/07/2012"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Keibul Lamjao (0.418 MLED) in Bishnupur, Manpur","NLCPR","15/12/2010","255.57","182.20","92.00","90.20","04/01/2012","31/12/2012",""
"Manipur","Water Supply","Augmentation of Water Supply for Chandel HQ and surrounding areas","NLCPR","28/02/2003","564.00","555.80","555.80","73.80","27/12/2005","28/02/2006","17/07/2009"
"Manipur","Water Supply","Augmentation of Water Supply for Ukhrul District Headquarter","NLCPR","28/02/2003","529.00","502.60","502.60","237.60","30/06/2005","30/06/2006","31/08/2006"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Thanlong in Churachandpur","NLCPR","16/07/2009","213.26","142.43","67.18","75.25","09/03/2012","31/07/2011",""
"Manipur","Water Supply","Upgradation of existing treatment plant at Bungmual from Lanva river source (Churachandpur District)-Zone-II","NLCPR","28/02/2003","108.00","102.00","101.67","50.00","18/05/2004","31/03/2006","27/10/2006"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Singhat in Churachandpur","NLCPR","20/07/2009","204.64","136.65","64.45","72.20","14/02/2012","31/07/2011",""
"Manipur","Water Supply","Augmentation of Water Supply at Tamei","NLCPR","15/03/2005","100.00","91.88","91.88","42.88","26/09/2007","31/03/2007","24/08/2009"
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Maram","NLCPR","28/10/2004","306.00","278.98","278.98","62.98","12/09/2006","30/09/2006","26/11/2009"
"Manipur","Water Supply","Augmentation of water supply scheme at Riha Loute and surrounding villages in Manipur","NLCPR","30/09/2008","349.20","308.12","233.25","74.87","14/02/2012","30/09/2010",""
"Manipur","Water Supply","Augmentation of Water Supply Scheme at Tadubi","NLCPR","28/10/2004","430.00","387.04","387.04","122.04","28/09/2007","30/09/2006","14/05/2010"
"Manipur","Water Supply","Augmentation of Leimaram Irengham area Water Supply Scheme at Bishnupur","NLCPR","05/02/2010","259.69","182.55","91.25","91.30","04/01/2012","15/02/2012",""
"Manipur","Water Supply","Basic Minimum services - Rural water supply","NLCPR","30/12/1999","700.00","700.00","700.00","700.00","30/12/1999","26/12/2002","26/12/2002"
"Manipur","Miscellaneous","Basic Minimum services - Construction of rural shelters","NLCPR","30/12/1999","40.00","40.00","40.00","40.00","30/12/1999","31/12/2001","26/12/2002"
"Manipur","Miscellaneous","Restoration of (i) Manipur Legislative Assembly,(ii) CM Secretariate Building Complex and (iii) Speaker's Bungalow and Annexxe","NLCPR","31/03/2002","160.00","160.00","160.00","160.00","31/03/2002","30/09/2002","12/09/2003"
"Manipur","Miscellaneous","Integrated project on Health, Education and Training Programme for peace & Goodwill in senapati Hqrs.","NLCPR","26/06/2012","401.87","144.65","0.00","144.65","26/06/2012","31/12/2013",""
"Manipur","Miscellaneous","Basic Minimum services - Construction of 156 houses for tribals","NLCPR","30/12/1999","25.00","25.00","25.00","25.00","30/12/1999","31/12/2001","26/12/2002"
"Manipur","Miscellaneous","Construction of Tribal Markets in Manipur","NLCPR","23/12/2010","1230.42","442.95","0.00","442.95","24/12/2010","31/12/2012",""
"Meghalaya","Education","Construction/renovation of school building of DNS Wahlang Memorial Secondary School, East Khasi Hills,Shillong in Meghalaya","NLCPR","17/02/2011","305.70","110.05","0.00","110.05","25/02/2011","28/02/2013",""
"Meghalaya","Education","Construction of School Building, Mendipathar Secondary School, East Garo Hills","NLCPR","19/09/2008","121.40","38.24","31.91","38.24","23/09/2008","31/03/2010",""
"Meghalaya","Education","Construction of Bormanik College Building at Laimer, Upper Shillong","NLCPR","29/09/2009","250.52","90.19","79.38","90.19","30/09/2009","30/09/2012",""
"Meghalaya","Education","Sarva Shiksha Abhiyan 2006-07","NLCPR","26/09/2006","858.80","858.80","858.80","500.00","28/02/2007","31/03/2007",""
"Meghalaya","Education","Construction of RCC Building at Govt. Girls’ Higher Secondary School, Shillong.","NLCPR","17/03/2010","250.14","90.05","0.00","90.05","17/03/2010","31/03/2012",""
"Meghalaya","Education","SAC Expansion Programme - Developing the Employment Potential of NE Region in the New Economy & Promoting and Documenting Regional talent","NLCPR","08/12/2006","423.54","232.59","232.59","99.18","24/03/2009","31/12/2010",""
"Meghalaya","Education","Construction of School Building, Mawthawpdah Presbyterian Secondary School, West Khasi Hills","NLCPR","07/07/2010","327.10","117.76","0.00","117.76","09/07/2010","31/03/2012",""
"Meghalaya","Education","Primary School Buildings","NLCPR","17/11/2000","1440.00","1440.00","1440.00","720.00","23/07/2003","31/12/2003","05/03/2009"
"Meghalaya","Education","North Eastern Hill Univesity, Shillong","NLCPR","30/03/2000","600.00","600.00","600.00","600.00","30/03/2000","31/03/2004","16/04/2004"
"Meghalaya","Education","Campus Development Project of Building Infrastructure of Thomas Jones Synod College, Jowai","NLCPR","02/11/2005","336.58","206.02","205.36","100.00","12/12/2007","02/04/2009",""
"Meghalaya","Education","Construction of School Building of O.M. Roy Memorial School at Kynton Massar, Mawlai, Shillong","NLCPR","03/07/2006","225.84","197.34","146.96","55.70","25/03/2011","01/01/2008",""
"Meghalaya","Education","Construction of Tikrikilla College Complex, West Garo Hills District","NLCPR","06/12/2006","542.83","170.99","0.00","170.99","31/03/2009","31/12/2009",""
"Meghalaya","Education","Construction of School Building for Sutnga Presbyterian Higher Secondary School","NLCPR","16/02/2006","233.56","141.57","141.57","68.00","16/03/2009","31/08/2007",""
"Meghalaya","Education","Rymbai Presbyterian Higher Secondary School, Rymbai, Meghalaya","NLCPR","30/09/2010","381.44","274.60","137.30","137.30","09/05/2012","30/09/2013",""
"Meghalaya","Education","Upper Primary School Buildings","NLCPR","17/11/2000","800.00","800.00","800.00","400.00","23/07/2003","31/12/2003","05/03/2009"
"Meghalaya","Education","Infrastructural Requirements of Mawsynram Border Area College","NLCPR","02/11/2005","286.30","257.67","257.67","77.49","25/03/2009","02/10/2007",""
"Meghalaya","Education","Construction of School Building, Ri-Bhoi Presbyterian Higher Secondary School, Nongpoh, Ri-Bhoi District in Meghalaya","NLCPR","29/07/2008","365.08","246.42","242.95","131.42","30/07/2010","31/07/2010",""
"Meghalaya","Education","Construction of Nongstoin College Building, Boys & Girls Hostel, Library at Nongpyngdeng, Nongstoin, West Khasi Hills","NLCPR","02/02/2010","619.62","223.06","190.00","223.06","04/02/2010","30/06/2013",""
"Meghalaya","Education","Construction of School Building, Pohskur Secondary School, Jaintia Hills","NLCPR","06/12/2006","175.36","55.23","55.23","55.23","29/08/2008","31/12/2009",""
"Meghalaya","Education","Construction of Schools Building, Hostels, Basketball Court etc of Nongpathaw Secondary School, East Khasi Hills","NLCPR","07/07/2010","270.70","97.45","97.89","97.45","09/07/2010","30/06/2012",""
"Meghalaya","Education","Construction of RK Mission Ashram School Building, Teacher's Quarters and Student's Home at Cherrapunji.","NLCPR","08/03/2001","156.00","156.00","156.00","56.00","21/10/2002","31/03/2004","22/06/2004"
"Meghalaya","Education","Additional requirement of R.K. Mission, Cherrapunjee for construction of School Building, Library, Laboratory & Computer Classes","NLCPR","03/09/2004","200.00","180.54","98.42","110.54","27/06/2006","30/09/2006","15/03/2011"
"Meghalaya","Education","Sarva Shiksha Abhiyan 2005-06","NLCPR","28/03/2006","385.16","385.16","385.16","385.16","28/03/2006","31/12/2006",""
"Meghalaya","Power","Electrification of Tribal Villages","NLCPR","06/10/2000","150.00","149.00","149.00","74.00","12/08/2003","31/10/2003","17/05/2004"
"Meghalaya","Power","Sub Transmission &  Distribution Scheme - T&D scheme - commissioning of transformer at NEHU","NLCPR","22/04/2002","200.00","200.00","200.00","200.00","22/04/2002","30/04/2004","17/05/2004"
"Meghalaya","Power","Construction of new 132 kv S/C line connecting Khleihriat S/S (PGCIL) and Khliehriat (MeSEB) at Khleihriat","NLCPR","28/12/2004","252.00","229.24","229.24","135.44","27/09/2006","31/12/2006","12/03/2008"
"Meghalaya","Power","Lilo of one circuit of palatana-Bongaigaon at Killing with  400/220 KV, 2*315 MVA GIS Sub-Station in Meghalaya","NLCPR","06/07/2011","9966.65","6952.99","6255.00","3587.99","26/09/2012","31/12/2013",""
"Meghalaya","Power","Construction of 220 KV D/C Transmission Line from Misa (Assam) to Byrnihat (Meghalaya)","NLCPR","28/09/2007","6337.00","5603.00","5603.00","1107.00","02/12/2009","31/03/2010",""
"Meghalaya","Power","Construction of DC line from Rongkhon to Ampati along with 2x20 MVA, 132/33 KV Sub-Station at Ampati","NLCPR","25/03/2010","3079.33","1108.55","0.00","1108.55","26/03/2010","31/03/2012",""
"Meghalaya","Power","Sub Transmission &  Distribution Scheme - Improvement of power supply in Shillong","NLCPR","16/10/2000","633.00","633.00","633.00","233.00","19/03/2002","31/03/2003","17/05/2004"
"Meghalaya","Power","Sub Transmission &  Distribution Scheme -  Master plan for distribution of power in Meghalaya","NLCPR","30/01/2003","2400.00","2283.62","2283.62","316.62","30/06/2005","30/06/2005","08/05/2007"
"Meghalaya","Power","Construction of 132 kV D/C line from Sarusajai to Byrnihat","NLCPR","10/03/2004","978.24","978.24","978.24","478.24","20/09/2004","30/06/2005","08/05/2007"
"Meghalaya","Power","Sanction of 30% Grant in the Project Construction of Ganol Hydro Electric Project (22.5 MW) at Tura, West Garo Hills","NLCPR","30/09/2008","3672.38","1156.79","0.00","1156.79","30/09/2008","28/02/2011",""
"Meghalaya","Power","Sub Transmission &  Distribution Scheme - Improvement of power supply in Tura","NLCPR","16/10/2000","1203.00","1203.00","1203.00","203.00","22/03/2005","31/03/2003","02/03/2006"
"Meghalaya","Power","Sub Transmission &  Distribution Scheme - T&D scheme - commissioning of transformer at Khliehriat","NLCPR","30/01/2003","164.00","164.00","164.00","84.00","07/05/2004","24/12/2003",""
"Meghalaya","Power","Construction of 132/33 kV S/S at Lumshnong with LILO from Khleirhiat to Badarpur","NLCPR","28/09/2004","463.00","432.97","432.97","135.97","27/09/2006","30/09/2006","12/03/2008"
"Meghalaya","Power","Sanction of 30% Grant in the Project New Umtru Hydro Electric Project (2x20 MW) at Ri Bhoi District","NLCPR","30/09/2008","4828.84","4332.00","3259.46","1072.54","29/06/2012","31/03/2011",""
"Meghalaya","Road & Bridges","Construction including M & BT of a road from G. S. Road NH 40 to Nongthymmai, Umsning (4.311 Km), Ri-Bhoi Distt. in Meghalaya","NLCPR","16/09/2011","426.15","153.41","0.00","153.41","23/09/2011","31/08/2014",""
"Meghalaya","Road & Bridges","Improvement, widening including metalling and blacktopping of Dkhiah - Sutnga - Saipung - Mouslei - Halflong Road (16 Km)","NLCPR","26/03/2007","722.08","630.94","630.94","210.11","18/02/2009","31/03/2010","12/03/2010"
"Meghalaya","Road & Bridges","Improvement, Metalling & Blacktopping of a road from NH-51 to Rongsigre (4.725 Km)","NLCPR","31/12/2007","327.08","288.68","288.68","85.65","26/03/2010","31/12/2009",""
"Meghalaya","Road & Bridges","Re-Construction of SPT bridge No. 14/1 over Umngi River to Permanent RCC Bridge at 14th km of Laitmawsiang-Mawthawpdah road including approaches - West Khasi Hills Distt. in Meghalaya","NLCPR","23/12/2010","706.61","254.38","123.00","254.38","24/12/2010","31/01/2014",""
"Meghalaya","Road & Bridges","Widening & Strengthening of Damara-Mendipathar-Songsak-Williamnagar Road (Conversion of SPT bridges to RCC bridges)","NLCPR","02/01/2012","594.83","214.00","0.00","214.00","02/01/2012","02/01/2012",""
"Meghalaya","Road & Bridges","Improvement including metalling and blacktopping of Mawkyrwat - Rangblang Road (12th to 19th Km) (8 Km)","NLCPR","27/09/2007","480.00","417.00","417.00","115.80","05/11/2009","31/03/2010",""
"Meghalaya","Road & Bridges","Reconstruction of bridge over river Leiten (Bridge No-31/1) on Dkhiah-Sutnga-Saipung-Mawblei-Halflong Road","NLCPR","27/09/2007","243.15","214.54","214.54","50.42","13/12/2010","31/03/2010","28/06/2011"
"Meghalaya","Road & Bridges","Strengthening of  Baghmara-Maheshkhola Road (Strengthening of weak pavement from 35th Km.  To 74th Km. In diff. Kms-15).","NLCPR","11/07/2001","186.00","186.00","186.00","93.00","10/12/2003","31/03/2004","21/05/2004"
"Meghalaya","Road & Bridges","Widening to double lane standard including M&BT of Dkhiah-Sutanga-Saipung-Moulsei-Halflong Road (portion 1st to 8th and 18th Km), Jaintia Hills District, Meghalaya","NLCPR","09/11/2010","1577.50","1135.80","567.90","567.90","22/11/2012","31/10/2013",""
"Meghalaya","Road & Bridges","Improvement including metalling and blacktopping of Mukhaialong Lumshyrmit Road (19 km)","NLCPR","16/11/2007","911.00","803.83","803.83","115.42","13/12/2010","30/11/2010","23/12/2010"
"Meghalaya","Road & Bridges","Rehabilitation of Lyngkhat - Dawki Road (9.75 km)","NLCPR","30/09/2009","1160.85","1024.29","466.57","214.17","29/11/2011","30/09/2012",""
"Meghalaya","Road & Bridges","Construction including metalling and blacktopping of a Road from Mushut to Lumputhoi via Rngad (12 Km)","NLCPR","26/12/2007","487.21","429.89","429.89","126.42","16/03/2010","31/12/2009","31/03/2010"
"Meghalaya","Road & Bridges","Reconstruction of Bridges and Approaches on Mawphlang - Balat Road","NLCPR","18/10/2005","900.53","786.86","786.86","103.36","15/06/2009","18/11/2008",""
"Meghalaya","Road & Bridges","Construction of RCC Bridge over River Daru on Ampati-Purkashia Road (2nd km) to Ampati Village","NLCPR","23/12/2005","506.80","342.61","294.94","199.64","14/03/2008","31/12/2007",""
"Meghalaya","Road & Bridges","Strengthening improvement including metalling & blacktopping of road from Bholaganj to Nongiri, including construction of a major bridge at Tharia over river Wahrew","NLCPR","02/01/2012","2936.89","1057.28","0.00","1057.28","02/01/2012","02/01/2012",""
"Meghalaya","Road & Bridges","Construction  and Strengthening of Jakrem - Ranikor Road ( 6-15 Km)","NLCPR","13/07/2007","416.40","331.59","292.00","51.59","10/03/2010","31/03/2010",""
"Meghalaya","Road & Bridges","Reconstruction of bridges on Kherapara to Dekubazar (Br.No.2/5, 5/3 & 10/2)","NLCPR","02/02/2010","852.89","307.00","307.00","307.00","04/02/2010","31/01/2013",""
"Meghalaya","Road & Bridges","Construction of RCC bridges No. 3/1, 7/1, 7/2 and 8/1 on Ampati - Mankchar Road","NLCPR","15/02/2012","500.04","180.02","0.00","180.02","15/02/2012","15/02/2012",""
"Meghalaya","Road & Bridges","Construction including metalling and black topping of Lumshnong - Umlong Road (0-8 km)","NLCPR","26/09/2007","601.76","531.00","531.00","239.42","17/05/2010","31/03/2010","20/04/2010"
"Meghalaya","Road & Bridges","Improvement/construction including Metalling and Blacktopping of a double lane road from Rymbai to Deichynrum (7Km)","NLCPR","20/02/2009","602.56","531.67","531.67","124.95","04/01/2012","29/02/2012",""
"Meghalaya","Road & Bridges","Widening of road to double lane from Araimile to Dakopgre of Tura town (4 Km)","NLCPR","27/09/2007","313.83","276.91","276.91","88.05","08/03/2011","31/03/2010",""
"Meghalaya","Road & Bridges","Reconstruction of BUG bridge No. 9/3 and 9/4 with RCC pemanent bridge including approavhes on Rongrenggre-Simsanggre-Nengkhra Road - East Garo Hills Distt."" in Meghalaya","NLCPR","21/05/2012","373.36","134.41","0.00","134.41","21/05/2012","30/04/2016",""
"Meghalaya","Road & Bridges","Providing passing places in portion from 0 to 9-th Km. Of Smit- Mawkynrew- Mawlat Road etc.","NLCPR","11/07/2001","493.00","493.00","493.00","247.00","10/12/2003","31/07/2004","21/05/2004"
"Meghalaya","Road & Bridges","Improvement, Widening, Strengthening including Metalling & Blacktopping of a road from 9th Mile of NH-37 (Guwahati - Shillong road) to Killing – Pilangkata (6.00KM)","NLCPR","28/09/2007","312.73","275.94","275.94","77.43","29/03/2010","31/03/2009",""
"Meghalaya","Road & Bridges","Widening and Strengthening of hard crust on Mawngap-Mairang Road (5th to 24th Km.)","NLCPR","11/07/2001","452.00","452.00","452.00","226.00","10/12/2003","31/03/2004","21/05/2004"
"Meghalaya","Road & Bridges","Improvement including Metalling & Blacktopping of road from Sonapur (NH-44) to Lad Borsora (10 Km)","NLCPR","10/10/2008","832.99","734.99","734.99","172.73","05/03/2012","31/10/2011","31/03/2012"
"Meghalaya","Road & Bridges","Reconstruction of Bridges and Approaches on Damalgre - Mellim – Boldamgiri road, Tura (Bridge No.5/3, 8/5, 9/1 and 10/2)","NLCPR","30/09/2009","1146.94","412.90","412.90","412.90","30/09/2009","30/09/2011",""
"Meghalaya","Road & Bridges","Upgradation and Strengthening of Garobadha - Betasing Raod via Rangasakhona (from 6th Km of GR road upto 6th Km of BM road via Khasibil) in Tura District (7.833 Km)","NLCPR","31/12/2007","1137.56","1003.72","1003.72","295.39","13/12/2010","31/12/2009",""
"Meghalaya","Road & Bridges","Improvement, widening, strengthening including Metalling and Blacktopping of a road 9th Mile NH-37 Guwahati-Shillong road to Killing Pillankata (7th to21.50km) in Meghalaya","NLCPR","23/12/2010","1096.17","394.62","0.00","394.62","24/12/2010","31/01/2014",""
"Meghalaya","Road & Bridges","Upgradation of Double Lane and Strengthening of Dkhiah - Sutnga - Saipung - Moulsei - Haflong Road (9th to 16th km)","NLCPR","18/10/2005","445.88","389.60","389.60","77.14","28/03/2008","18/11/2008","28/06/2011"
"Meghalaya","Road & Bridges","Improvement, Widening, Strengthening including Reconstruction of Bridges and Culverts of Rymbai - Iapmala - Suchen Road (1-17 Km)","NLCPR","28/12/2005","1877.49","1640.53","1640.53","449.12","27/03/2008","31/12/2007",""
"Meghalaya","Road & Bridges","Construction length of possengagre to Anangpara including Metalling and Blacktopping upto Anchenggre","NLCPR","12/03/2012","688.94","248.02","0.00","248.02","12/03/2012","12/03/2012",""
"Meghalaya","Road & Bridges","Strengthening including widening of existing pavement into Intermediate Lane of 4.75 m. width of Mawshynrut- Nongchau Rd.","NLCPR","11/07/2001","732.61","732.61","732.61","366.61","01/12/2004","31/03/2004","14/02/2006"
"Meghalaya","Road & Bridges","Construction including metalling and Blacktopping of Bandapara-Mallangkona of Shallang road (52 KM) phase- I 10.00 Km- West Garo Hills Distt. in Meghalaya","NLCPR","08/07/2011","1072.09","385.95","36.64","385.95","11/07/2011","30/06/2014",""
"Meghalaya","Road & Bridges","Widening of roads into double lane in Williamnagar town (8 Km)","NLCPR","28/03/2008","1512.67","1334.71","1206.91","591.95","13/12/2010","31/03/2011",""
"Meghalaya","Road & Bridges","Construction of road from Rongjeng-Mangsang-Adorgre road including metalling and blacktopping (33rd to 38th Km) with bridges (5.16 Km)","NLCPR","25/03/2010","439.24","158.13","74.79","158.13","26/03/2010","31/03/2012",""
"Meghalaya","Road & Bridges","Construction of including Metalling and Blacktopping of a Road from Sohbar to Tharia (13Km) in Meghalaya","NLCPR","28/06/2012","665.85","239.71","0.00","239.71","29/06/2012","31/07/2015",""
"Meghalaya","Road & Bridges","Construction of remaining portion of Mawsahew- Nongsteng-Umblai-Mawphu Road (6th to 13th Km)","NLCPR","30/09/2008","953.88","686.79","274.50","386.32","17/12/2012","31/10/2010",""
"Meghalaya","Water Supply","Greater Shilong Water Supply Scheme, Shilong","NLCPR","01/01/1999","3579.00","3579.00","3579.00","1250.00","23/09/2002","31/03/2002","28/07/2004"
"Meghalaya","Water Supply","Greater Sohrybgkham Water Supply Scheme (Hills Division)","NLCPR","04/03/2010","670.24","482.58","241.28","241.29","12/09/2011","28/02/2013",""
"Meghalaya","Water Supply","Ialong Combined Water Supply Scheme (Jowai Division), Meghalaya","NLCPR","26/08/2010","459.84","165.54","0.00","165.54","31/08/2010","31/07/2012",""
"Meghalaya","Water Supply","Upper Shillong Water Supply Project","NLCPR","23/12/2010","3302.36","1188.84","1188.84","1188.84","24/12/2010","31/01/2014",""
"Meghalaya","Water Supply","Greater Raliang Water Supply Project","NLCPR","16/02/2010","2156.20","1552.46","776.23","776.23","21/12/2012","28/02/2013",""
