"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
860.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Improved biodesulfurization of crude oil: optimization of conditions and characterization of dsz genes from an isolated bacterium [BT/PR12015/BCE/08/751/2009]","Dr. Preeti  Srivastava
INDIAN INSTITUTE OF TECHNOLOGY, DELHI New Delhi, Delhi-110016","02/11/2010","3 Years 0 Month",4177012.0
861.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Development of Mycoremediation Technology for Tannery Effluent Treatment by Indigenous Fungal Consortium [BT/PR10450/BCE/08/642/2008]","Dr. Piyush  Malaviya
University of Jammu Jammu, Jammu And Kashmir-180006","02/12/2010","3 Years 0 Month",3638016.0
862.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","“Recovery of ret species of ceropegia from western ghats ” [BT/PR-9456/BCE/08/572/2007]","Dr. S R Yadav
Shivaji University Kolhapur, Maharashtra-416004","06/01/2010","5 Years 0 Month",9355076.0
863.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","studies on genetic diversity, in vitro micro- propagation and reintroduction of rare, endemic and endangered trees of agasthiarmalai biosphere reserve [BT/PR9370/BCE/08/565/2007]","Prof. K  Multhuchelian
Madurai Kamraj University Madurai, Tamilnadu-625021","06/08/2008","5 Years 0 Month",6375064.0
864.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Cyto-pathological and Biochemical markers of pollution- A simple, sensitive and prognostic tool for water quality assessment [BT/PR4762/BCE/8/903/2012]","Prof. Ramesh Chandra Sinha
Patna University Patna, Bihar-800005","07/03/2013","3 Years 0 Month",2952800.0
865.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Biotechnological applications for Transforming the most abundant bacterial form industrial waste waters of South Gujarat for bioremediation [BT/PR13691/BCE/08/797/2010]","Dr. G Naresh Kumar
M. S. University of Baroda Vadodara, Gujarat-390001","07/06/2011","3 Years 0 Month",5493032.0
866.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Impacts of habitat fragmentation on the host parasite interaction in endemic and endangered animals of Western Ghats [BT/PR4503/BCE/8/899/2012]","Dr. Govindhaswamy  Umapathy
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","08/11/2012","3 Years 0 Month",5223500.0
867.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Molecular investigation of epigenetic modifications in exposure to environmental pollution using Neurospora crassa as a model system [BT/PR3635/BCE/8/892/2012]","Dr. Ranjan  Tamuli
INDIAN INSTITUTE OF TECHNOLOGY, GUWAHATI Guwahati, Assam-781039","08/11/2012","3 Years 0 Month",5500000.0
868.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Study of Arsenic resistant rhizobacterial diversity responsible for Arsenic speciation in the paddy fields of Nadia district and identification of suitable bacterial strains for As bioremediation having Plant growth promoting activities [BT/PR4693/BCE/8/894/2012]","Dr. Samir Kumar Mukherjee
University of Kalyani Kalyani, West Bengal-741235","08/11/2012","3 Years 0 Month",3463000.0
869.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Meta-Population dynamics of tigers in the Malenad-Mysore Landscape of Karnataka. [BT/PR13854/BCE/08/809/2010]","Dr. K Ullas Karanth
Centre For Wildlife Studies Bangalore, Karnataka-560070","10/01/2012","5 Years 0 Month",17010200.0
870.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Exploration and conservation of geno-diversity from soil metagenome of Leh, Amarnath and its neighborhood [BT/PR11727/BCE/08/720/2008]","Dr. Jyoti  Vakhlu
University of Jammu Jammu, Jammu And Kashmir-180006","12/05/2010","3 Years 0 Month",4081016.0
871.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","In-situ conservation of critically endangered monotypic tree genus (Pseudoglochidion) and a shrub species (phyllanthus talbotii) of Western Ghats using conventional and biotechnological Tools [BT/PR-9269/BCE/08/552/2007]","Dr. M K Janarthanam
Goa University Goa, Goa-403206","12/08/2008","5 Years 0 Month",6578072.0
872.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Identification and evaluation of novel microbes in CETP of Tannery industrial units through molecular approach [BT/PR11581/BCE/08/712/2008]","Prof. M  Krishnan
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","12/08/2010","3 Years 0 Month",4579024.0
873.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Conservation of critically endagered and aeconomically important species Mysristica malaarica in the central Western Ghats: using ecological niche models as a tool to identify areas for conservation. [BT/PR12952/BCE/08/776/2009]","Dr. G  Ravikanth
Ashoka Trust For Research In Ecology and The Environment (ATREE), Bangalore  Bangalore, Karnataka-560064","14/02/2011","3 Years 0 Month",5290060.0
874.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Exploring the Efficiency of Carbon Sequestration Potential in Tree species under Elevated CO2 level. [BT/PR-11980/BCE/08/746/2009]","Prof. Attipalli R Reddy
University of Hyderabad Hyderabad, Andhra Pradesh-500046","14/02/2011","5 Years 0 Month",7593048.0
875.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Elucidation of Molecular Basis of Pesticides-Induced Toxicity [BT/PR14439/BCE/08/818/2010]","Dr. K C Gupta
Indian Institute of Toxicology Research Lucknow, Uttar Pradesh-226001","15/09/2011","3 Years 0 Month",5434000.0
876.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Understanding Genome Organization and Gene Expression in Response to Different Hexachlorocyclohexane (HCH) Isomers in HCH Degrading Bacteria and the HCH Dumpsite [BT/PR3301/BCE/8/875/2011]","Prof. Rup  Lal
University of Delhi, North Campus Delhi, Delhi-110007","16/03/2012","3 Years 0 Month",30574000.0
877.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Organics & color reduction of distillery wastewater in a biological powered activated carbon membrane bioreactor (BPAC-MBR) using biomass ash filters [BT/PR10664/BCE/08/675/2008]","Dr. Malini  Balakrishnan
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","16/06/2010","3 Years 0 Month",2294004.0
878.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Bioenergy from waste Hydrogen and methane production. [BT/PR11517/BCE/08/709/2008]","Dr. Vipin Chandra Kalia
INSTITUTE OF GENOMICS AND INTEGRATIVE BIOLOGY Delhi, Delhi-110007","16/07/2010","3 Years 0 Month",3870000.0
879.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Development of a Green Technology for Improvement of Paper Quality and to Minimize the Generation of Genotoxic Effluents [BT/PR14808/BCE/08/840/2010]","Dr. Dalia Dasgupta Mandal
National Institute of Technology, Durgapur Durgapur West Bangal, West Bengal-713209","16/12/2011","3 Years 0 Month",2532800.0
880.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Prospecting for RNA Chaperones in Microbes and Development of Osmotolerant Rice [BT/PR14484/BCE/08/823/2010]","Dr. Kanika   
National Research Centre On Plant Biotechnology New Delhi, Delhi-110012","16/12/2011","3 Years 0 Month",2417400.0
881.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Diversity of nitrogen metabolizing bacteria based on nifH, narG and amo A genes [BT/PR12522/BCE/08/05/2009]","Dr. Dileep Kumar Singh
University of Delhi, North Campus Delhi, Delhi-110007","17/01/2011","3 Years 0 Month",4243012.0
882.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Fish Melanophores as Cytosensors [BT/PR10940/BCE/08/685/2008]","Dr. T K Ghosh
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","17/05/2010","3 Years 0 Month",2852008.0
883.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Bioleaching of Heavy metals from spent catalyst used in Petroleum refineries and scale-up Studies [BT/PR11779/BCE/08/723/2009]","Dr. Bina  Singh
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","17/05/2010","3 Years 0 Month",3865264.0
884.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Application of periodic discontinuous batch operation to enhance treatment efficiency of dye containing wastewater [BT/PR11070/BCE/08/693/2008]","Dr. Datta  Madamwar
Sardar Patel University Vallabh Vidhyanagar, Gujarat-388120","17/09/2010","3 Years 0 Month",7006044.0
885.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Micropropagation of Nardostachys gradiflora and Malaxis wallichii, two threatened medicinal plants of Northeast India [BT/PR10533/BCE/08/622/2008]","Prof. Pramod  Tandon
North-Eastern Hill University Shillong, Meghalaya-793022","18/09/2010","3 Years 0 Month",2805008.0
886.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Studies on the genetic diversity and conservation status of snow leopards (Panthere unica) in India [BT/PR-14672/BCE/08/832/2010]","Dr. Ajay  Gaur
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","19/08/2011","3 Years 0 Month",5057400.0
887.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Patterns of distribution and diversification in select snake genera in the Western Ghats and Northeast India [BT/PR14146/BCE/08/814/2010]","Dr. Kartik  Shanker
INDIAN INSTITUTE OF SCIENCE Bangalore, Karnataka-560012","19/09/2011","3 Years 0 Month",2823740.0
888.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Assessment of Arsenic Pollution and Bioremediation of Arsenic  Contamination from Agricultural Soils. [BT/PR13147/BCE/08/780/2009]","Dr. Pankaj Kumar Srivastava
National Botanical Research Institute Lucknow, Uttar Pradesh-226001","20/01/2011","3 Years 0 Month",5765016.0
889.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Study of risk assessment of endosulfan in human using in vitro cell models [BT/PR15019/BCE/08/851/2010]","Dr. S Saravana Devi
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","20/09/2011","3 Years 0 Month",3931200.0
890.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Biological sequestration of carbon dioxide and methane production from coal seams and underground reservoirs using methanogenic bacteria [BT/PR12656/BCE/08/763/2009]","Dr. Priyangshu Manab Sarma
The Energy And Resources Institute, New Delhi New Delhi, Delhi-110003","20/09/2011","3 Years 0 Month",4536200.0
891.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Assessing genetic diversity propagation and restoration of Elaeocarpus Blascoi and Kingiodendron Pinnatum-RET species from southern Western Ghats through biotechnological interventions [BT/PR9365/BCE/08/562/2007]","Dr. P  Ravichandran
Manonmaniam Sundaranar University Tirunelveli, Tamilnadu-627012","20/10/2008","5 Years 0 Month",8237024.0
892.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","In vivo recruitment of bacteria and its characterization for removal of CO2 from thermal power plant [BT/PR11875/BCE/08/727/2009]","Dr. Indu Shekar Thakur
Jawaharlal Nehru University New Delhi, Delhi-110067","22/03/2010","3 Years 0 Month",4094024.0
893.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Oxidative degradation of typical petroleum hydrocarbons in soil through combined bioaugmentation and biostimulation processes [BT/PR11982/BCE/08/749/2009]","Dr. Arundhuti  Devi
INSTITUTE OF ADVANCED STUDY IN SCIENCE & TECHNOLOGY Guwahati, Assam-781035","22/03/2011","3 Years 0 Month",1683016.0
894.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Patterns of Distribution of Selected Faunal Groups in the Agasthiamalai Hills, Western Ghats, Kerala, India [BT/PR13769/BCE/08/803/2010]","Dr. S  Bhupathy
Salim Ali Centre For Ornithology And Natural History Coimbatore, Tamilnadu-641108","23/05/2011","3 Years 3 Month",2490400.0
895.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Metagenomic approach to cloning and expression of endo and exoglucanases and (B-1, 4 glycosidase from soil water system [BT/PR12706/BCE/08/768/2009]","Prof. IS Bright  Singh
COCHIN UNIVERSITY OF SCIENCE & TECHNOLOGY Cochin, Kerala-682022","23/09/2010","3 Years 0 Month",4002040.0
896.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Development of Integrated process for mitigation of oxides of nitrogen-A potential global warming gas [BT/PR11957/BCE/08/739/2009]","Dr. R A Pandey
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","23/09/2010","3 Years 0 Month",3926016.0
897.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Evaluation of genetic diversity in Kidney bean anf field pea germplasm for some important traits [BT/PR14750/BCE/08/837/2010]","Dr. Narpinder  Singh
Guru Nanak Dev University Amritsar, Punjab-143001","23/09/2011","3 Years 0 Month",7319816.0
898.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Potential for Carbon Seqestration in Grassland and Afforested Ecosystem using Molecular and Eddy Covariance Techniques [BT/PR11979/BCE/08/745/2010]","Dr. Asha A Juwarkar
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","23/09/2011","3 Years 0 Month",12188000.0
899.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Studies on population ecology and micropropagation techniques of selected endemic and threatened plants of peninsular India. [BT/PR9368/BCE/08/563/2007]","Dr. M B Vishwanathan
Bharathidasan University Tiruchirappalli, Tamilnadu-620024","25/06/2008","5 Years 0 Month",8413068.0
900.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Identification of Oxalogenic tree and oxalortophic bacteria for long term carbon sequestration. [BT/PR11941/BCE/08/736/2009]","Dr. Anil Kumar Sharma
G.B. Pant University of Agric. & Tech. Pantnagar Pant Nagar, Uttarakhand-263128","26/03/2010","4 Years 0 Month",3845012.0
901.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Self Healing in Concrete: A microbial approach to find out an alternative in sustainable concrete technology [BT/PR11289/BCE/08/707/2008]","Dr. Brajadulal  Chattopadhyay
Jadavpur University, Calcutta Kolkata, West Bengal-700032","27/05/2011","3 Years 0 Month",4363048.0
902.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Biomonitoring of particulate pollution through magnetic properties of certain road side plants in Aizawal, Mizoram [BT/PR-11889/BCE/08/730/2009]","Dr. Prabhat Kumar Rai
Mizoram University Aizawl, Mizoram-796004","27/05/2011","3 Years 0 Month",2131600.0
903.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Biotechnological approach for capture of CO2 for generation of PUFAs using algae [BT/PR-11977/BCE/08/743/2009]","Dr. S  Sandhya
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","27/05/2011","3 Years 0 Month",2134800.0
904.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Bioremediation of Dyestuff effluent compounds in Sequence Bioreactor and Metagenomics Study of Rhizosphere. [BT/PR13213/BCE/08/786/2009]","Prof. M H Fulekar
University of Mumbai Mumbai, Maharashtra-400032","27/05/2011","3 Years 0 Month",4322400.0
905.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Bioresources of Kuttanad Wetland Ecosystem: Inventorization, Characterization and ConservationBioresources of Kuttanad Wetland Ecosystem: Inventorization, Characterization and Conservation [BT/PR13695/BCE/08/798/2010]","Dr. G Achuthan Nair
INDIRA GANDHI NATIONAL OPEN UNIVERSITY New Delhi, Kerala-110068","27/06/2011","3 Years 0 Month",7141812.0
906.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","""Conservation and restoration of two endemic and critically endangered tree species [Syzygium gambleanum Rathakr. & Chithra and Syzygium rama-varmae (bourd.) chithra] from Agastyamalai Biosensor Reserve through conventional and Non-conventional Propagation"" [BT/PR10946/BCE/08/687/2008]","Dr. D  Narasimahan
Madras Christian College Chennai, Tamilnadu-600059","27/11/2009","5 Years 0 Month",5905060.0
907.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Metabolites characterization and detection of functional genome of melanoidin degrading enzyme involved during the decolorization of post methanated distillery effluent [BT/PR11978/BCE/08/744/2009]","Prof. Ram  Chandra
INDUSTRIAL TOXICOLOGICAL RESEARCH CENTRE Lucknow, Uttar Pradesh-226001","28/01/2011","3 Years 0 Month",4143000.16
908.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Development of a hybrid chemo-biochemical process for biogas generation from complex industrial effluent: Experimental and Modeling studies [BT/PR12511/BCE/08/03/2009]","Dr. S N Mudliar
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","28/01/2011","3 Years 0 Month",2442036.0
909.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Management of coffee pulp effluent and coffee fruit peel through the utilization of improved microbial cultures [BT/PR13338/BCE/08/791/2009]","Dr. Annu Appaiah K A
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","28/07/2011","3 Years 0 Month",2339000.0
910.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Study of the mechanism of microbial degradation of xenobiotic nitro-aromatic pollutants [BT/PR4087/BCE/8/881/2011]","Dr. Amit Prithviraj Bafana
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","28/08/2012","3 Years 0 Month",2901000.0
911.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Conservation of Vanda thwaitisii, V. wightii and Eulophia cullenii three Endangered Orchids of Western Ghats through Micropropagation and restoration with tribal participation [BT/PR10457/BCE/08/649/2008]","Dr. S William Decruse
Tropical Botanic Garden & Research Institute Thiruvananthapuram, Kerala-695562","29/07/2010","5 Years 0 Month",3953040.0
912.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Developing efficient microbial inocula for degradation of textile dyes and their amines: Genotoxicity evaluation for validation of their degradation potential [BT/PR14701/BCE/08/834/2010]","Dr. Harvinder Singh Saini
Guru Nanak Dev University Amritsar, Punjab-143001","29/09/2011","3 Years 0 Month",2845600.0
913.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Biological treatment of biomass gasifier wastewater using algal bacterial system in rotating biological contractor [BT/PR14807/BCE/08/839/2010]","Prof. Suparna  Mukherji
INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY Mumbai, Maharashtra-400076","29/09/2011","3 Years 0 Month",3142400.0
914.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Evaluation of impact of elevated carbon dioxide on crop productivity and carbon sequestration. [BT/PR14827/BCE/08/841/2010]","Dr. B C Tripathy
Jawaharlal Nehru University New Delhi, Delhi-110067","29/09/2011","3 Years 0 Month",6860000.0
915.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Bioethanol production from ligocellulosic waste: improved pre-treatment, integrated sacchrification, fermentatin and separation in a membrane bioreactor. [BT/PR14939/BCE/08/849/2010]","Dr. R A Pandey
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","29/09/2011","3 Years 0 Month",3850000.0
916.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","CO2 Sequestration from Flue Gas Vis a Vis Carbonate and Micro-Algae Mediated Biofuel Precursor Production: Algal Strain and High Performance Photobioreactor System Development [BT/PR14828/BCE/08/842/2010]","Dr. Kannan  Krishnamurthi
National Environmental Engineering Research Institute Nagpur, Maharashtra-440020","29/09/2011","3 Years 0 Month",6978600.0
917.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Identification and characterization of endophytic microbe colonization in heavy metal accumulator and tolerant macrophyte Typha angustifolia. [BT/PR15410/BCE/08/861/2011]","Dr. Anindita  Seal
University of Calcutta Kolkata, West Bengal-700073","29/09/2012","3 Years 0 Month",6150000.0
918.0,"ENVIRONMENTAL BIOTECHNOLOGY AND BIODIVERSITY CONSERVATION","Biodegradation/ deterioration of blended polyolefins in different environments. [BT/PR/13945/BCE/08/808/2010]","Dr. Mukesh  Doble
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","30/10/2012","3 Years 0 Month",2732500.0
919.0,"FOOD AND NUTRITION SECURITY","P21 Activated Kinase 1 (PAK 1) mediated protective role of probiotics in Inflammatory Bowel Disease [BT/PR-14947/FNS/20/488/2010]","Dr. Rayala suresh kumar
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","01/07/2011","3 Years 0 Month",6213385.0
920.0,"FOOD AND NUTRITION SECURITY","Gaur germ: Development of a food–grade Protein Source for Humans [BT/PR-14869/FNS/20/478/2010]","Dr. K C  Gupta
Indian Institute of Toxicology Research Lucknow, Uttar Pradesh-226001","04/03/2011","3 Years 0 Month",5498000.0
921.0,"FOOD AND NUTRITION SECURITY","Application of probiotics in alleviating allergic responses and immunosenescence [BT/PR14976/FNS/20/511/2011]","Dr. RAJEEV  KAPILA
National Dairy Research Institute Karnal, Haryana-132001","04/03/2011","3 Years 0 Month",5372800.0
922.0,"FOOD AND NUTRITION SECURITY","Composite processed fruit products for nutrients and nutraceuticals [BT/PR5994/FNS/20/563/2012]","Dr. Rajarathnam  S
Central Food Tech.Research Institute, Mysore Mysore, Karnataka-570020","04/03/2013","3 Years 0 Month",10038300.0
923.0,"FOOD AND NUTRITION SECURITY","Evaluation of the potential of Probiotics (Lactobacillus Spp.) for the prevention and treatment of intestinal and vaginal parasitic infections [BT/PR-14969/FNS/20/506/2010]","Dr. RAKESH  SEHGAL
Post Graduate Institute of Medical Education and Research Chandigarh, Chandigarh-160012","04/07/2011","3 Years 0 Month",2279800.0
924.0,"FOOD AND NUTRITION SECURITY","Enhancing the quality and nutraceutical status of traditional meat products of India by use of enzymes and protective microorganisms. [BT/PR7351/FNS/20/725/2012]","Dr. Farooq Ahmad Masoodi
University of Kashmir Srinagar, Jammu And Kashmir-190006","05/03/2013","3 Years 0 Month",6565200.0
925.0,"FOOD AND NUTRITION SECURITY","Development of low cost membranes for juice clarification [BT/PR866/FNS/20/523/2011]","Dr. Ramgopal VS  Uppaluri
INDIAN INSTITUTE OF TECHNOLOGY, GUWAHATI Guwahati, Assam-781039","05/12/2011","3 Years 0 Month",1887300.0
926.0,"FOOD AND NUTRITION SECURITY","Enhancement of Innate mucosal immunity with probiotic supplement to protect against infectious diseases [BT/PR14176/FNS/20/451/2010]","Dr. Palok  Aich
National Institute of Science Education And Research Bhubaneswar, Orissa-751005","07/02/2011","3 Years 0 Month",6346200.0
927.0,"FOOD AND NUTRITION SECURITY","Assessment of Prevalence of Vitamin D Deficiency and associated factors amongst Children in the age group of 6 -18 years from Three High Altitude Regions (1000 meters and above) of Himachal Pradesh, India [BT/PR6701/FNS/20/674/2012]","Dr. Umesh  Kapil
All India Institute Of Medical Sciences New Delhi, Delhi-110029","07/03/2013","2 Years 0 Month",5228160.0
928.0,"FOOD AND NUTRITION SECURITY","Understanding the role of Sirtuins as inflammatory modulators in diabetic cardiomyopathy and its regulation by nutritional agent, resveratrol [BT/PR6143/FNS/20/637/2012]","Dr. Sanjay K Banerjee
INDIAN INSTITUTE OF CHEMICAL TECHNOLOGY Hyderabad, Andhra Pradesh-500007","07/03/2013","3 Years 0 Month",5496800.0
929.0,"FOOD AND NUTRITION SECURITY","Nutraceutical potential of ß- glucan its utilization for making functional foods and as an encapsulating material for target delivery of probiotics. [BT/PR7346/FNS/20/723/2012]","Dr. Adil  Gani
University of Kashmir Srinagar, Jammu And Kashmir-190006","07/03/2013","3 Years 0 Month",7338000.0
930.0,"FOOD AND NUTRITION SECURITY","Isolation and characterization of metabolites &/or polysaccharides as anti-inflammatory mediators from wild and medicinal mushrooms used in ethnic medicine system: An investigation into NF?B-MAPK-Cytokine regulation and its verification in induced edema in vivo [BT/PR6195/FNS/20/648/2012]","Dr. Chiranjib  Pal
West Bengal State University Kolkata, West Bengal-700126","07/03/2013","3 Years 0 Month",4631000.0
931.0,"FOOD AND NUTRITION SECURITY","Purification and Biochemical Characterisation of Caffeine demethylase and its applications on Food products [BT/PR-15008/FNS/20/514/2010]","Dr. Sathyanarayana N Gummadi
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","07/07/2011","3 Years 0 Month",3707800.0
932.0,"FOOD AND NUTRITION SECURITY","Assessment of Microbiological safety of common street foods of Sikkim and application of HACCP system [BT/PR15361/FNS/20/518/2011]","Dr. Jyoti Prakash Tamang
Sikkim Government College Gangtok, Sikkim-737102","07/09/2011","3 Years 0 Month",2060000.0
933.0,"FOOD AND NUTRITION SECURITY","Acceptability of combined mineral vitamin formulation in children with severe acute malnutrition (SAM) [BT/PR4828/FNS/20/544/2012]","Dr. Shinjini  Bhatnagar
Translational Health Science And Technology Institute Gurgaon, Haryana-122016","08/05/2012","1 Years 3 Month",3927935.0
934.0,"FOOD AND NUTRITION SECURITY","A novel biosensor for rapid and sensitive detection of micro-organisms in food and water samples using novel nonmaterial [BT/PR4861/FNS/20/553/2012]","Dr. Shantanu  Bhattacharya
INDIAN INSTITUTE OF TECHNOLOGY, KANPUR kanpur, Uttar Pradesh-208016","08/08/2012","3 Years 0 Month",4441900.0
935.0,"FOOD AND NUTRITION SECURITY","Development of Tools to identify and map IgE binding  epitopes using synthetic peptides [BT/PR-11489/FNS/20/391/2008]","Dr. R  Hemalatha
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","09/02/2012","4 Years 0 Month",5476500.0
936.0,"FOOD AND NUTRITION SECURITY","Studying the therapeutic properties and Establishing Sorghum grains as a Functional Food [BT/PR-14821/FNS/20/473/2010]","Dr. C V Ratnavathi
Directorate of Sorghum Research Hyderabad, Andhra Pradesh-500030","09/03/2011","3 Years 0 Month",7496000.0
937.0,"FOOD AND NUTRITION SECURITY","Diversity of bile salt hydrolases: Biochemical and structural studies of enzyme produced by novel bacterial isolates from unexplored habitats [BT/PR686/FNS/20/539/2012]","Dr. Archana  Pundle
National Chemical Laboratory Pune, Maharashtra-411008","09/08/2012","3 Years 0 Month",3026000.0
938.0,"FOOD AND NUTRITION SECURITY","Multitarget System for GM Detection and quantification in GM Food crops [BT/PR14654/FNS/20/466/2010]","Dr. Gurinderjit  Randhawa
National Bureau of Plant Genetic Resources New Delhi, Delhi-110012","10/02/2011","3 Years 0 Month",10203282.0
939.0,"FOOD AND NUTRITION SECURITY","Impact of dietary of fats rich   in n-6  and  n-3 polyunsaturated fatty acids on adiposity and insulin resistance in diet induced obese rat model: A missing molecular link with vitamin A metabolism [BT/PR14679/FNS/20/467/2010]","Dr. VAJRESHWARI  A
National Institute of Nutrition Hyderabad, Andhra Pradesh-500007","10/02/2011","3 Years 0 Month",3686900.0
